County ID,State / County Name,All Ages in Poverty Count,Median Household Income in Dollars
0,United States,"31,528,020","$28,906 "
1000,Alabama,"709,148","$22,202 "
1001,Autauga County (AL),"4,956","$26,898 "
1003,Baldwin County (AL),"13,031","$24,043 "
1005,Barbour County (AL),"6,601","$18,673 "
1007,Bibb County (AL),"3,133","$19,604 "
1009,Blount County (AL),"5,296","$24,035 "
1011,Bullock County (AL),"3,580","$13,273 "
1013,Butler County (AL),"5,782","$16,683 "
1015,Calhoun County (AL),"17,160","$23,688 "
1017,Chambers County (AL),"5,790","$21,277 "
1019,Cherokee County (AL),"2,802","$21,072 "
1021,Chilton County (AL),"5,576","$21,144 "
1023,Choctaw County (AL),"4,106","$18,426 "
1025,Clarke County (AL),"6,477","$20,030 "
1027,Clay County (AL),"2,061","$19,481 "
1029,Cleburne County (AL),"1,762","$22,445 "
1031,Coffee County (AL),"5,235","$25,856 "
1033,Colbert County (AL),"7,732","$21,964 "
1035,Conecuh County (AL),"3,881","$16,284 "
1037,Coosa County (AL),"1,869","$19,215 "
1039,Covington County (AL),"7,162","$18,965 "
1041,Crenshaw County (AL),"3,228","$15,765 "
1043,Cullman County (AL),"10,074","$22,311 "
1045,Dale County (AL),"6,835","$23,419 "
1047,Dallas County (AL),"16,155","$15,962 "
1049,DeKalb County (AL),"9,256","$20,404 "
1051,Elmore County (AL),"6,797","$25,448 "
1053,Escambia County (AL),"7,716","$19,506 "
1055,Etowah County (AL),"14,874","$22,255 "
1057,Fayette County (AL),"3,117","$21,425 "
1059,Franklin County (AL),"4,700","$19,607 "
1061,Geneva County (AL),"4,444","$19,515 "
1063,Greene County (AL),"4,307","$12,303 "
1065,Hale County (AL),"5,562","$12,949 "
1067,Henry County (AL),"2,824","$20,669 "
1069,Houston County (AL),"12,822","$24,816 "
1071,Jackson County (AL),"7,301","$23,015 "
1073,Jefferson County (AL),"112,315","$24,448 "
1075,Lamar County (AL),"2,486","$21,093 "
1077,Lauderdale County (AL),"10,715","$23,755 "
1079,Lawrence County (AL),"5,240","$21,579 "
1081,Lee County (AL),"13,052","$23,594 "
1083,Limestone County (AL),"7,076","$26,176 "
1085,Lowndes County (AL),"4,995","$13,301 "
1087,Macon County (AL),"7,842","$15,374 "
1089,Madison County (AL),"26,132","$33,565 "
1091,Marengo County (AL),"6,713","$18,240 "
1093,Marion County (AL),"4,870","$20,098 "
1095,Marshall County (AL),"9,823","$21,850 "
1097,Mobile County (AL),"85,322","$21,923 "
1099,Monroe County (AL),"5,233","$19,867 "
1101,Montgomery County (AL),"38,435","$25,502 "
1103,Morgan County (AL),"11,470","$28,343 "
1105,Perry County (AL),"6,016","$11,248 "
1107,Pickens County (AL),"5,239","$17,165 "
1109,Pike County (AL),"6,757","$17,732 "
1111,Randolph County (AL),"3,516","$18,853 "
1113,Russell County (AL),"9,334","$20,247 "
1115,St. Clair County (AL),"6,738","$24,336 "
1117,Shelby County (AL),"7,595","$36,980 "
1119,Sumter County (AL),"5,886","$14,425 "
1121,Talladega County (AL),"15,119","$20,464 "
1123,Tallapoosa County (AL),"6,075","$21,509 "
1125,Tuscaloosa County (AL),"26,870","$23,778 "
1127,Walker County (AL),"11,098","$20,838 "
1129,Washington County (AL),"3,423","$21,025 "
1131,Wilcox County (AL),"6,179","$13,401 "
1133,Winston County (AL),"3,580","$19,317 "
2000,Alaska,"57,539","$33,885 "
2013,Aleutians East Borough (AK),NA,NA
2016,Aleutians West Census Area (AK),NA,NA
2020,Anchorage Borough (AK),"20,742","$40,761 "
2050,Bethel Census Area (AK),"5,993","$23,163 "
