County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Median Household Income in Dollars
0,United States,"317,741,588","42,583,651","$60,336 "
1000,Alabama,"4,752,519","802,263","$48,193 "
1001,Autauga County (AL),"55,021","7,390","$58,343 "
1003,Baldwin County (AL),"209,922","21,199","$56,607 "
1005,Barbour County (AL),"22,224","7,414","$32,490 "
1007,Bibb County (AL),"20,434","4,137","$45,795 "
1009,Blount County (AL),"57,452","7,343","$48,253 "
1011,Bullock County (AL),"8,597","2,956","$29,113 "
1013,Butler County (AL),"19,471","4,154","$36,842 "
1015,Calhoun County (AL),"111,883","19,832","$45,937 "
1017,Chambers County (AL),"33,242","6,036","$36,883 "
1019,Cherokee County (AL),"25,518","4,381","$44,842 "
1021,Chilton County (AL),"43,598","7,303","$46,405 "
1023,Choctaw County (AL),"12,792","3,031","$36,711 "
1025,Clarke County (AL),"23,787","5,541","$36,719 "
1027,Clay County (AL),"13,086","2,363","$39,642 "
1029,Cleburne County (AL),"14,675","2,365","$45,480 "
1031,Coffee County (AL),"51,206","7,954","$51,998 "
1033,Colbert County (AL),"53,907","8,324","$46,100 "
1035,Conecuh County (AL),"12,387","2,939","$30,796 "
1037,Coosa County (AL),"10,478","1,823","$42,442 "
1039,Covington County (AL),"36,490","6,447","$39,093 "
1041,Crenshaw County (AL),"13,695","2,722","$38,419 "
1043,Cullman County (AL),"81,547","11,256","$45,925 "
1045,Dale County (AL),"48,173","8,528","$42,572 "
1047,Dallas County (AL),"38,660","10,796","$31,329 "
1049,DeKalb County (AL),"70,728","13,785","$39,906 "
1051,Elmore County (AL),"76,290","9,151","$59,652 "
1053,Escambia County (AL),"34,184","7,971","$37,870 "
1055,Etowah County (AL),"100,626","18,257","$41,791 "
1057,Fayette County (AL),"16,206","3,146","$39,394 "
1059,Franklin County (AL),"31,132","6,394","$41,025 "
1061,Geneva County (AL),"26,122","5,659","$38,561 "
1063,Greene County (AL),"8,277","2,752","$28,108 "
1065,Hale County (AL),"14,579","3,654","$34,905 "
1067,Henry County (AL),"16,905","2,882","$48,094 "
1069,Houston County (AL),"102,856","17,095","$44,753 "
1071,Jackson County (AL),"51,299","8,539","$42,658 "
1073,Jefferson County (AL),"643,726","107,752","$50,731 "
1075,Lamar County (AL),"13,718","2,570","$39,796 "
1077,Lauderdale County (AL),"90,380","12,395","$46,646 "
1079,Lawrence County (AL),"32,730","5,494","$42,912 "
1081,Lee County (AL),"156,526","27,901","$51,372 "
1083,Limestone County (AL),"91,333","10,830","$57,342 "
1085,Lowndes County (AL),"9,970","2,585","$33,130 "
1087,Macon County (AL),"17,045","5,213","$30,849 "
1089,Madison County (AL),"352,724","44,979","$62,750 "
1091,Marengo County (AL),"19,101","4,356","$37,469 "
1093,Marion County (AL),"28,977","5,582","$38,049 "
1095,Marshall County (AL),"94,129","18,873","$42,751 "
1097,Mobile County (AL),"406,795","80,116","$45,615 "
1099,Monroe County (AL),"21,066","5,018","$36,432 "
1101,Montgomery County (AL),"217,404","46,315","$45,833 "
1103,Morgan County (AL),"116,631","17,301","$49,274 "
1105,Perry County (AL),"8,542","3,180","$26,703 "
1107,Pickens County (AL),"18,345","4,093","$38,379 "
1109,Pike County (AL),"31,085","8,611","$40,680 "
1111,Randolph County (AL),"22,225","3,771","$41,112 "
1113,Russell County (AL),"56,358","13,078","$36,186 "
1115,St. Clair County (AL),"86,337","11,644","$52,755 "
1117,Shelby County (AL),"210,737","15,585","$74,098 "
1119,Sumter County (AL),"11,802","4,238","$26,495 "
1121,Talladega County (AL),"76,911","14,062","$41,733 "
1123,Tallapoosa County (AL),"40,059","7,311","$44,469 "
1125,Tuscaloosa County (AL),"196,976","31,238","$51,644 "
1127,Walker County (AL),"63,079","10,975","$41,925 "
1129,Washington County (AL),"16,353","3,303","$44,249 "
1131,Wilcox County (AL),"10,593","3,392","$25,700 "
1133,Winston County (AL),"23,413","4,980","$38,562 "
2000,Alaska,"720,474","79,428","$74,058 "
2013,Aleutians East Borough (AK),"3,361",491,"$69,375 "
2016,Aleutians West Census Area (AK),"5,548",451,"$80,290 "
2020,Anchorage Borough (AK),"287,186","27,663","$78,579 "
2050,Bethel Census Area (AK),"17,702","5,077","$45,582 "
2060,Bristol Bay Borough (AK),847,92,"$70,094 "
2068,Denali Borough (AK),"1,976",158,"$73,220 "
2070,Dillingham Census Area (AK),"4,878","1,015","$52,641 "
2090,Fairbanks North Star Borough (AK),"94,772","7,051","$74,241 "
2100,Haines Borough (AK),"2,519",288,"$53,413 "
2105,Hoonah-Angoon Census Area (AK),"2,139",376,"$50,573 "
2110,Juneau Borough (AK),"31,145","2,596","$90,436 "
2122,Kenai Peninsula Borough (AK),"57,159","5,840","$63,559 "
2130,Ketchikan Gateway Borough (AK),"13,608","1,341","$71,298 "
2150,Kodiak Island Borough (AK),"13,188",991,"$71,118 "
2158,Kusilvak Census Area (AK),"8,142","3,050","$31,250 "
2164,Lake and Peninsula Borough (AK),"1,609",253,"$47,644 "
2170,Matanuska-Susitna Borough (AK),"103,931","11,768","$72,296 "
2180,Nome Census Area (AK),"9,704","2,248","$53,877 "
2185,North Slope Borough (AK),"9,698","1,182","$82,736 "
2188,Northwest Arctic Borough (AK),"7,599","1,974","$53,060 "
2195,Petersburg Borough (AK),"3,265",240,"$59,176 "
2198,Prince of Wales-Hyder Census Area (AK),"6,407","1,183","$46,488 "
2220,Sitka Borough (AK),"8,536",694,"$69,501 "
2230,Skagway Municipality (AK),"1,153",50,"$66,991 "
2240,Southeast Fairbanks Census Area (AK),"6,816",872,"$59,382 "
2261,Valdez-Cordova Census Area (AK),"9,163",845,"$86,196 "
2275,Wrangell City and Borough (AK),"2,494",310,"$55,696 "
2282,Yakutat Borough (AK),603,92,"$59,955 "
2290,Yukon-Koyukuk Census Area (AK),"5,325","1,237","$37,907 "
4000,Arizona,"6,856,072","1,023,337","$56,508 "
4001,Apache County (AZ),"70,669","23,426","$33,053 "
4003,Cochise County (AZ),"119,740","19,219","$48,966 "
4005,Coconino County (AZ),"130,051","23,946","$54,399 "
4007,Gila County (AZ),"52,446","12,661","$38,897 "
4009,Graham County (AZ),"34,517","7,213","$46,378 "
4011,Greenlee County (AZ),"9,349",948,"$63,557 "
4012,La Paz County (AZ),"20,362","4,263","$36,389 "
