FIPS,County,Black Male Children in Poverty,Black Female Children in Poverty,Black Male Children Not in Poverty,Black Female Children Not in Poverty,White Male Children in Poverty,White Female Children in Poverty,White Male Children Not in Poverty,White Female Children Not in Poverty,Male Children in Poverty,Female Children in Poverty,Male Children Not in Poverty,Female Children Not in Poverty
1001,"Autauga County, Alabama",597,498,900,826,535,941,4296,3795,1214,1484,5687,5019
1003,"Baldwin County, Alabama",1026,784,1672,1911,2599,2223,14808,14355,4038,3095,18920,18369
1005,"Barbour County, Alabama",948,931,526,563,184,128,728,827,1291,1167,1479,1534
1007,"Bibb County, Alabama",226,180,373,156,384,445,1497,1244,614,633,1976,1463
1009,"Blount County, Alabama",5,0,146,76,1274,829,4107,4439,2016,1387,4723,5256
1011,"Bullock County, Alabama",457,589,368,343,0,0,154,97,457,589,554,476
1013,"Butler County, Alabama",466,668,788,448,205,143,835,805,731,850,1654,1303
1015,"Calhoun County, Alabama",1428,1540,1408,1296,1418,1266,7005,6499,3387,3256,9353,8933
1017,"Chambers County, Alabama",580,591,998,919,255,279,1499,1385,1004,1063,2648,2397
1019,"Cherokee County, Alabama",50,22,104,153,475,410,1805,1788,557,456,1958,2090
1021,"Chilton County, Alabama",236,175,271,273,1143,682,2687,3045,1694,1184,3593,3881
1023,"Choctaw County, Alabama",429,229,191,347,65,134,664,594,509,374,865,941
1025,"Clarke County, Alabama",600,637,833,668,205,173,1044,1147,839,810,1902,1822
1027,"Clay County, Alabama",74,73,131,152,185,144,921,833,349,298,1075,1031
1029,"Cleburne County, Alabama",25,0,18,0,315,431,1245,971,471,563,1298,1005
1031,"Coffee County, Alabama",565,345,578,681,718,776,3247,2989,1615,1542,4520,4310
1033,"Colbert County, Alabama",349,232,710,581,918,889,3421,3291,1433,1370,4551,4268
1035,"Conecuh County, Alabama",344,534,337,229,111,39,452,476,471,597,852,801
1037,"Coosa County, Alabama",103,128,281,124,22,83,377,623,125,211,768,773
