Id2,Geography,Workers,Commute
1001,"Autauga County, Alabama",23724,25.8
1003,"Baldwin County, Alabama",82876,27
1005,"Barbour County, Alabama",8568,23.4
1007,"Bibb County, Alabama",7906,30
1009,"Blount County, Alabama",20789,35
1011,"Bullock County, Alabama",4160,29.8
1013,"Butler County, Alabama",7472,23.2
1015,"Calhoun County, Alabama",44808,24.8
1017,"Chambers County, Alabama",13961,23.6
1019,"Cherokee County, Alabama",9535,26.5
1021,"Chilton County, Alabama",17086,32.5
1023,"Choctaw County, Alabama",4163,32.7
1025,"Clarke County, Alabama",7736,23.9
1027,"Clay County, Alabama",5238,30.3
1029,"Cleburne County, Alabama",5323,33.2
1031,"Coffee County, Alabama",21543,21.7
1033,"Colbert County, Alabama",21379,23.1
1035,"Conecuh County, Alabama",3829,29.6
1037,"Coosa County, Alabama",3592,29.8
1039,"Covington County, Alabama",14256,25.2
1041,"Crenshaw County, Alabama",5385,28.6
1043,"Cullman County, Alabama",30963,26.5
1045,"Dale County, Alabama",19843,20.7
1047,"Dallas County, Alabama",13890,22.1
1049,"DeKalb County, Alabama",27512,23.2
1051,"Elmore County, Alabama",31931,28
1053,"Escambia County, Alabama",11817,22.6
1055,"Etowah County, Alabama",38622,24
1057,"Fayette County, Alabama",6053,27.9
1059,"Franklin County, Alabama",12225,28.4
1061,"Geneva County, Alabama",9887,27.2
1063,"Greene County, Alabama",2303,29.7
1065,"Hale County, Alabama",5048,29.9
1067,"Henry County, Alabama",6689,25.6
1069,"Houston County, Alabama",42573,21.3
1071,"Jackson County, Alabama",19512,25.7
1073,"Jefferson County, Alabama",287571,23.8
1075,"Lamar County, Alabama",5265,28.1
1077,"Lauderdale County, Alabama",38557,24.1
1079,"Lawrence County, Alabama",11995,28
1081,"Lee County, Alabama",68387,22.2
1083,"Limestone County, Alabama",37582,25.7
1085,"Lowndes County, Alabama",3361,30.3
1087,"Macon County, Alabama",7061,22.5
1089,"Madison County, Alabama",162133,21.3
1091,"Marengo County, Alabama",6358,25.5
1093,"Marion County, Alabama",11346,23.2
1095,"Marshall County, Alabama",36929,23.9
1097,"Mobile County, Alabama",163980,24.8
1099,"Monroe County, Alabama",5947,24.7
1101,"Montgomery County, Alabama",96583,20.3
1103,"Morgan County, Alabama",48972,24.1
1105,"Perry County, Alabama",2435,26.1
1107,"Pickens County, Alabama",6502,29.5
1109,"Pike County, Alabama",13388,20.4
