fips,county,1990,2000,2010,white_census,black_census,2017,white_acs,black_acs
1001,"Autauga County, Alabama","34,222",43671,54571,42855,9643,55036,42159,10510
1003,"Baldwin County, Alabama","98,280",140415,182265,156153,17105,203360,175961,19414
1005,"Barbour County, Alabama","25,417",29038,27457,13180,12875,26201,12200,12588
1007,"Bibb County, Alabama","16,576",20826,22915,17381,5047,22580,17323,4979
1009,"Blount County, Alabama","39,248",51024,57322,53068,761,57667,55045,915
1011,"Bullock County, Alabama","11,042",11714,10914,2507,7666,10478,2299,7925
1013,"Butler County, Alabama","21,892",21399,20947,11399,9095,20126,10547,9030
1015,"Calhoun County, Alabama","116,034",112249,118572,88840,24382,115527,86136,23735
1017,"Chambers County, Alabama","36,876",36583,34215,20112,13257,33895,19552,13335
1019,"Cherokee County, Alabama","19,543",23988,25989,24081,1208,25855,24072,1287
1021,"Chilton County, Alabama","32,458",39593,43643,36713,4230,43805,36497,4184
1023,"Choctaw County, Alabama","16,018",15922,13859,7731,6012,13188,7456,5583
1025,"Clarke County, Alabama","27,240",27867,25833,14070,11336,24625,13108,11246
1027,"Clay County, Alabama","13,252",14254,13932,11380,2066,13407,11148,1979
1029,"Cleburne County, Alabama","12,730",14123,14972,14079,498,14939,14127,424
1031,"Coffee County, Alabama","40,240",43615,49948,37330,8359,51073,38956,8834
1033,"Colbert County, Alabama","51,666",54984,54428,43789,8768,54435,43315,8722
1035,"Conecuh County, Alabama","14,054",14089,13228,6788,6149,12649,6494,5879
1037,"Coosa County, Alabama","11,063",12202,11539,7648,3582,10955,7165,3640
1039,"Covington County, Alabama","36,478",37631,37765,32022,4716,37519,31758,4937
1041,"Crenshaw County, Alabama","13,635",13665,13906,10097,3254,13866,9911,3271
1043,"Cullman County, Alabama","67,613",77483,80406,76133,856,81703,78056,948
1045,"Dale County, Alabama","49,633",49129,50251,37236,9679,49393,36202,9606
1047,"Dallas County, Alabama","48,130",46365,43820,12769,30423,40755,11497,28677
1049,"DeKalb County, Alabama","54,651",64452,71109,60087,1078,71194,61415,1040
1051,"Elmore County, Alabama","49,210",65874,79303,60455,15900,80989,60877,17338
1053,"Escambia County, Alabama","35,518",38440,38319,23784,12220,37621,23087,12128
1055,"Etowah County, Alabama","99,840",103459,104430,83823,15796,103132,83436,16039
1057,"Fayette County, Alabama","17,962",18495,17241,14910,1969,16657,14240,2019
1059,"Franklin County, Alabama","27,814",31223,31704,26320,1228,31507,27055,1528
1061,"Geneva County, Alabama","23,647",25764,26790,23127,2539,26572,23014,2440
1063,"Greene County, Alabama","10,153",9974,9045,1575,7370,8533,1459,6853
1065,"Hale County, Alabama","15,498",17185,15760,6266,9301,14995,5928,8802
1067,"Henry County, Alabama","15,374",16310,17302,11865,4942,17110,12144,4762
1069,"Houston County, Alabama","81,331",88787,101547,71053,26176,104108,72271,27844
1071,"Jackson County, Alabama","47,796",53926,53227,48348,1781,52326,47628,1699
1073,"Jefferson County, Alabama","651,525",662047,658466(r38264),349166,276525,659460,343449,280804
1075,"Lamar County, Alabama","15,715",15904,14564,12626,1643,14021,12264,1520
1077,"Lauderdale County, Alabama","79,661",87966,92709,80112,9257,92590,80456,9316
1079,"Lawrence County, Alabama","31,513",34803,34339,26647,3938,33288,25978,3801
1081,"Lee County, Alabama","87,146",115092,140247(r38032),100006,31901,156597,109481,36139
1083,"Limestone County, Alabama","54,135",65676,82782,66506,10429,91695,74794,12042
1085,"Lowndes County, Alabama","12,658",13473,11299,2859,8310,10362,2559,7722
1087,"Macon County, Alabama","24,928",24105,21452,3319,17729,19358,3060,15903
1089,"Madison County, Alabama","238,912",276700,334811,228280,80376,353213,242114,85332
1091,"Marengo County, Alabama","23,084",22539,21027,9751,10872,19743,8954,10689
1093,"Marion County, Alabama","29,830",31214,30776,28791,1184,30058,28032,1003
1095,"Marshall County, Alabama","70,832",82231,93019,81464,1494,94738,87765,2091
1097,"Mobile County, Alabama","378,643",399843,412992(r38160),248647,142992,414328,245542,146423
1099,"Monroe County, Alabama","23,968",24324,23068,12718,9614,21745,11973,9029
1101,"Montgomery County, Alabama","209,085",223510,229363,90656,125477,227120,84134,130076
1103,"Morgan County, Alabama","100,043",111064,119490,95404,14185,119157,96748,14790
1105,"Perry County, Alabama","12,759",11861,10591,3204,7276,9680,2875,6735
1107,"Pickens County, Alabama","20,699",20949,19746,11110,8211,20170,11305,8189
1109,"Pike County, Alabama","27,595",29605,32899,19144,12054,33287,18995,12648
1111,"Randolph County, Alabama","19,881",22380,22913,17532,4607,22530,17341,4500
1113,"Russell County, Alabama","46,860",49756,52947,28449,22135,58480,29568,24946
1115,"St. Clair County, Alabama","50,009",64742,83593,73741,7150,86937,76026,8126
1117,"Shelby County, Alabama","99,358",143293,195085,161943,20732,208721,168535,24669
1119,"Sumter County, Alabama","16,174",14798,13763,3326,10316,13084,3235,9268
1121,"Talladega County, Alabama","74,107",80321,82291,53739,26055,80888,51980,26004
1123,"Tallapoosa County, Alabama","38,826",41475,41616,29087,11083,40756,28455,11216
1125,"Tuscaloosa County, Alabama","150,522",164875,194656,129004,57611,204424,132281,63965
1127,"Walker County, Alabama","67,670",70713,67023,61146,3928,64927,59223,3963
1129,"Washington County, Alabama","16,694",18097,17581,11508,4380,16746,10970,4120
1131,"Wilcox County, Alabama","13,568",13183,11670,3126,8465,10919,2937,7874
1133,"Winston County, Alabama","22,053",24843,24484,23409,115,23968,23135,124
2013,"Aleutians East Borough, Alaska","2,464",2697,3141,660,219,3338,574,175
2016,"Aleutians West Census Area, Alaska","9,478",5465,5561,2004,332,5784,1723,295
2020,"Anchorage Municipality, Alaska","226,338",260283,291826,192498,16226,298225,189826,16335
2050,"Bethel Census Area, Alaska","13,656",16006,17013,1894,65,17957,1968,120
2060,"Bristol Bay Borough, Alaska","1,410",1258,997,481,0,917,477,4
2068,"Denali Borough, Alaska",,1893,1826,1637,10,2303,1912,4
2070,"Dillingham Census Area, Alaska","4,012",4922,4847,878,11,4974,868,22
