FIPS,County,Population,Hispanic/Latino,White Alone,Black Alone,AIAN Alone,Asian Alone,NHOPI Alone,Other Alone,Two or More Races
1001,"Autauga County, Alabama",55036,1467,41509,10419,169,516,12,43,901
1003,"Baldwin County, Alabama",203360,9029,168951,19238,1528,1395,0,318,2901
1005,"Barbour County, Alabama",26201,1104,11985,12528,46,152,0,176,210
1007,"Bibb County, Alabama",22580,531,16849,4959,82,0,0,0,159
1009,"Blount County, Alabama",57667,5197,50381,879,193,84,0,126,807
1011,"Bullock County, Alabama",10478,35,2264,7925,110,73,0,2,69
1013,"Butler County, Alabama",20126,64,10515,8998,13,224,0,14,298
1015,"Calhoun County, Alabama",115527,4121,84006,23553,213,1149,7,48,2430
1017,"Chambers County, Alabama",33895,730,19045,13335,95,339,0,17,334
1019,"Cherokee County, Alabama",25855,409,23731,1287,125,33,0,0,270
1021,"Chilton County, Alabama",43805,3371,35207,4154,175,187,0,39,672
1023,"Choctaw County, Alabama",13188,71,7420,5553,4,8,0,2,130
1025,"Clarke County, Alabama",24625,58,13057,11246,14,127,22,0,101
1027,"Clay County, Alabama",13407,417,10753,1972,115,6,0,23,121
1029,"Cleburne County, Alabama",14939,356,13842,424,43,81,0,8,185
1031,"Coffee County, Alabama",51073,3402,36261,8755,528,659,0,6,1462
1033,"Colbert County, Alabama",54435,1313,42877,8676,404,246,19,31,869
1035,"Conecuh County, Alabama",12649,231,6362,5855,21,4,0,2,174
1037,"Coosa County, Alabama",10955,16,7150,3640,8,0,0,0,141
1039,"Covington County, Alabama",37519,586,31320,4879,124,154,8,0,448
1041,"Crenshaw County, Alabama",13866,253,9872,3209,108,194,0,2,228
1043,"Cullman County, Alabama",81703,3466,75434,900,350,528,0,63,962
1045,"Dale County, Alabama",49393,2994,34306,9485,241,448,9,189,1721
1047,"Dallas County, Alabama",40755,409,11306,28603,16,183,6,0,232
1049,"DeKalb County, Alabama",71194,10178,57507,1009,876,208,83,8,1325
1051,"Elmore County, Alabama",80989,2316,59460,17180,232,461,0,203,1137
1053,"Escambia County, Alabama",37621,809,22661,12107,1368,149,54,46,427
1055,"Etowah County, Alabama",103132,3794,80750,15847,503,706,71,86,1375
1057,"Fayette County, Alabama",16657,277,14163,1917,0,78,0,0,222
1059,"Franklin County, Alabama",31507,5146,24474,1471,52,117,32,14,201
1061,"Geneva County, Alabama",26572,1004,22318,2440,162,106,0,0,542
1063,"Greene County, Alabama",8533,101,1459,6851,54,0,0,0,68
1065,"Hale County, Alabama",14995,196,5925,8795,25,26,0,21,7
1067,"Henry County, Alabama",17110,435,11757,4762,5,0,0,0,151
1069,"Houston County, Alabama",104108,3366,69963,27576,322,874,16,95,1896
1071,"Jackson County, Alabama",52326,1493,46738,1699,516,238,53,129,1460
1073,"Jefferson County, Alabama",659460,24692,332267,279928,1224,10093,174,1535,9547
1075,"Lamar County, Alabama",14021,212,12061,1520,45,0,0,100,83
1077,"Lauderdale County, Alabama",92590,2285,78605,9103,339,626,23,189,1420
1079,"Lawrence County, Alabama",33288,701,25492,3801,1730,18,0,0,1546
1081,"Lee County, Alabama",156597,5813,105864,35923,145,5873,0,438,2541
1083,"Limestone County, Alabama",91695,5323,70776,11989,662,1143,11,0,1791
1085,"Lowndes County, Alabama",10362,71,2515,7708,9,0,0,0,59
1087,"Macon County, Alabama",19358,315,2992,15772,43,38,0,67,131
1089,"Madison County, Alabama",353213,16734,230104,84675,2018,8957,316,970,9439
1091,"Marengo County, Alabama",19743,88,8909,10689,11,0,0,9,37
1093,"Marion County, Alabama",30058,741,27637,963,128,96,0,0,493
1095,"Marshall County, Alabama",94738,12600,77467,2084,439,534,48,51,1515
1097,"Mobile County, Alabama",414328,11416,238405,145960,2467,8060,54,794,7172
1099,"Monroe County, Alabama",21745,286,11842,8874,274,116,0,0,353
1101,"Montgomery County, Alabama",227120,7628,79926,129745,296,5517,37,188,3783
1103,"Morgan County, Alabama",119157,9485,91006,14692,641,779,55,87,2412
1105,"Perry County, Alabama",9680,67,2843,6735,7,23,0,5,0
1107,"Pickens County, Alabama",20170,826,10914,8162,22,13,10,9,214
1109,"Pike County, Alabama",33287,282,18759,12629,213,731,2,18,653
1111,"Randolph County, Alabama",22530,665,16955,4381,48,36,36,14,395
1113,"Russell County, Alabama",58480,3050,27955,24769,209,384,140,57,1916
1115,"St. Clair County, Alabama",86937,2003,74972,8084,215,684,11,0,968
1117,"Shelby County, Alabama",208721,12045,163877,24443,458,3973,56,385,3484
1119,"Sumter County, Alabama",13084,34,3217,9256,68,392,0,55,62
1121,"Talladega County, Alabama",80888,1791,51055,26004,235,446,22,68,1267
1123,"Tallapoosa County, Alabama",40756,968,28081,11072,176,160,0,0,299
1125,"Tuscaloosa County, Alabama",204424,7128,127567,63839,250,3120,67,235,2218
1127,"Walker County, Alabama",64927,1531,58038,3902,45,306,0,3,1102
1129,"Washington County, Alabama",16746,81,10907,4120,1261,159,0,0,218
1131,"Wilcox County, Alabama",10919,52,2937,7874,6,0,0,0,50
1133,"Winston County, Alabama",23968,717,22556,124,65,70,7,0,429
2013,"Aleutians East Borough, Alaska",3338,324,516,160,1249,871,46,0,172
2016,"Aleutians West Census Area, Alaska",5784,780,1435,291,665,2182,148,11,272
2020,"Anchorage Municipality, Alaska",298225,26415,176518,15649,20345,27383,6941,698,24276
2050,"Bethel Census Area, Alaska",17957,393,1826,120,14729,165,4,0,720
2060,"Bristol Bay Borough, Alaska",917,41,461,4,315,13,3,0,80
2068,"Denali Borough, Alaska",2303,17,1905,4,50,109,0,5,213
2070,"Dillingham Census Area, Alaska",4974,155,808,22,3579,75,0,0,335
2090,"Fairbanks North Star Borough, Alaska",100031,7714,71100,4006,6286,2999,447,114,7365
2100,"Haines Borough, Alaska",2537,71,2003,1,190,100,5,0,167
2105,"Hoonah-Angoon Census Area, Alaska",2146,117,935,59,800,58,2,0,175
2110,"Juneau City and Borough, Alaska",32434,2067,21214,330,3500,2176,311,137,2699
2122,"Kenai Peninsula Borough, Alaska",57961,2293,46943,300,4127,863,191,91,3153
2130,"Ketchikan Gateway Borough, Alaska",13745,655,8854,75,1860,1066,5,58,1172
2150,"Kodiak Island Borough, Alaska",13773,1219,6901,23,1744,3044,129,32,681
2158,"Kusilvak Census Area, Alaska",8129,132,307,35,7282,41,0,2,330
2164,"Lake and Peninsula Borough, Alaska",1301,20,283,9,868,28,3,2,88
2170,"Matanuska-Susitna Borough, Alaska",101135,4666,80824,1033,5041,1311,177,232,7851
2180,"Nome Census Area, Alaska",9869,234,1466,75,7207,137,29,0,721
2185,"North Slope Borough, Alaska",9757,401,3052,53,4971,542,159,0,579
2188,"Northwest Arctic Borough, Alaska",7715,196,856,42,6297,68,1,0,255
2195,"Petersburg Borough, Alaska",3275,346,2199,19,216,220,36,2,237
2198,"Prince of Wales-Hyder Census Area, Alaska",6473,238,2931,10,2579,74,40,4,597
2220,"Sitka City and Borough, Alaska",8810,555,5498,85,1158,590,37,0,887
2230,"Skagway Municipality, Alaska",1038,71,816,2,55,42,0,5,47
2240,"Southeast Fairbanks Census Area, Alaska",6889,356,5162,99,794,132,3,0,343
2261,"Valdez-Cordova Census Area, Alaska",9439,453,6628,13,1253,267,58,3,764
2275,"Wrangell City and Borough, Alaska",2475,78,1595,4,510,77,0,0,211
2282,"Yakutat City and Borough, Alaska",682,38,298,6,193,37,9,0,101
2290,"Yukon-Koyukuk Census Area, Alaska",5453,117,1164,5,3841,40,0,0,286
4001,"Apache County, Arizona",71602,4374,13212,355,52121,248,54,35,1203
4003,"Cochise County, Arizona",126516,44275,70407,4548,1130,2266,463,258,3169
4005,"Coconino County, Arizona",138639,19265,75269,1729,35762,2493,196,260,3665
4007,"Gila County, Arizona",53145,9910,33360,238,8300,453,0,0,884
4009,"Graham County, Arizona",37700,12264,19292,695,4735,279,59,0,376
4011,"Greenlee County, Arizona",9368,4348,4457,183,336,33,0,0,11
4012,"La Paz County, Arizona",20477,5383,12027,167,2270,154,46,0,430
4013,"Maricopa County, Arizona",4155501,1271746,2340105,211228,64102,160439,7919,5834,94128
4015,"Mohave County, Arizona",204691,32591,159694,1997,4292,2371,258,149,3339
4017,"Navajo County, Arizona",107902,12054,44929,772,46648,663,121,121,2594
4019,"Pima County, Arizona",1007257,368612,529974,32055,24358,26646,1371,1279,22962
4021,"Pinal County, Arizona",405537,120075,232950,17249,17386,6624,1380,420,9453
4023,"Santa Cruz County, Arizona",46358,38653,6974,135,93,353,0,16,134
4025,"Yavapai County, Arizona",220972,31508,178765,1144,3259,1961,36,122,4177
4027,"Yuma County, Arizona",204281,128465,65003,3651,1888,2347,106,102,2719
5001,"Arkansas County, Arkansas",18352,543,12874,4774,3,2,0,0,156
5003,"Ashley County, Arkansas",20771,1083,14126,5309,49,0,0,31,173
5005,"Baxter County, Arkansas",41093,879,39079,74,206,160,11,83,601
5007,"Benton County, Arkansas",251823,40980,186902,4020,3523,9201,1180,531,5486
5009,"Boone County, Arkansas",37212,866,35067,143,394,189,32,1,520
5011,"Bradley County, Arkansas",10994,1625,6143,3200,0,0,0,11,15
5013,"Calhoun County, Arkansas",5194,203,3771,1135,7,11,10,8,49
5015,"Carroll County, Arkansas",27782,4101,22392,137,157,287,174,0,534
5017,"Chicot County, Arkansas",11008,571,4309,5957,44,55,0,0,72
5019,"Clark County, Arkansas",22495,1035,15540,5364,69,157,0,0,330
5021,"Clay County, Arkansas",15190,289,14547,104,72,0,0,0,178
5023,"Cleburne County, Arkansas",25361,623,24048,150,181,205,0,0,154
5025,"Cleveland County, Arkansas",8332,148,7057,919,32,8,0,0,168
5027,"Columbia County, Arkansas",23992,610,14242,8362,74,264,0,299,141
5029,"Conway County, Arkansas",20954,796,17139,2302,60,13,0,10,634
5031,"Craighead County, Arkansas",104246,5095,80625,13919,204,1193,154,114,2942
5033,"Crawford County, Arkansas",62119,4532,52830,830,983,1120,0,7,1817
5035,"Crittenden County, Arkansas",49278,1177,21277,24082,140,325,62,38,2177
5037,"Cross County, Arkansas",17164,325,12523,3899,7,11,0,10,389
5039,"Dallas County, Arkansas",7585,233,4037,3036,32,124,18,0,105
5041,"Desha County, Arkansas",12094,700,5531,5744,15,18,0,13,73
5043,"Drew County, Arkansas",18620,571,12463,5358,18,31,0,0,179
5045,"Faulkner County, Arkansas",121282,4855,97800,13814,365,1547,159,384,2358
5047,"Franklin County, Arkansas",17803,513,16453,173,280,86,25,0,273
5049,"Fulton County, Arkansas",12092,158,11555,40,103,6,7,0,223
5051,"Garland County, Arkansas",97994,5263,80927,7952,723,498,8,328,2295
5053,"Grant County, Arkansas",18076,449,16812,517,38,8,2,0,250
5055,"Greene County, Arkansas",44197,1203,41486,461,145,126,46,38,692
5057,"Hempstead County, Arkansas",22154,2764,12226,6531,56,19,80,0,478
5059,"Hot Spring County, Arkansas",33480,1127,27722,3666,102,93,0,0,770
5061,"Howard County, Arkansas",13472,1614,8751,2809,24,24,0,20,230
5063,"Independence County, Arkansas",37097,2258,33074,723,100,257,6,0,679
5065,"Izard County, Arkansas",13521,284,12646,258,145,23,0,0,165
5067,"Jackson County, Arkansas",17429,476,13460,2953,31,8,0,15,486
5069,"Jefferson County, Arkansas",71373,1410,28256,40183,169,539,0,75,741
5071,"Johnson County, Arkansas",26155,3589,21015,415,61,428,16,25,606
5073,"Lafayette County, Arkansas",7051,82,4180,2665,20,27,0,17,60
5075,"Lawrence County, Arkansas",16777,221,16068,157,88,14,2,3,224
5077,"Lee County, Arkansas",9614,133,3911,5466,14,10,0,0,80
5079,"Lincoln County, Arkansas",13885,499,8963,4325,52,0,0,0,46
5081,"Little River County, Arkansas",12494,414,9146,2559,164,1,0,0,210
5083,"Logan County, Arkansas",21802,635,19801,462,231,277,0,8,388
5085,"Lonoke County, Arkansas",71568,3046,61925,4307,326,466,78,53,1367
5087,"Madison County, Arkansas",15907,863,14342,8,160,66,73,0,395
5089,"Marion County, Arkansas",16374,353,15501,28,171,71,0,0,250
5091,"Miller County, Arkansas",43760,1336,30382,10668,297,198,27,20,832
5093,"Mississippi County, Arkansas",43534,1753,25564,15289,12,238,18,15,645
5095,"Monroe County, Arkansas",7420,189,4034,3026,0,37,0,0,134
5097,"Montgomery County, Arkansas",9059,374,8238,26,162,94,0,42,123
5099,"Nevada County, Arkansas",8528,34,5403,2852,6,122,1,0,110
5101,"Newton County, Arkansas",7898,108,7449,1,122,42,0,0,176
5103,"Ouachita County, Arkansas",24378,521,13541,9925,56,17,0,0,318
5105,"Perry County, Arkansas",10320,291,9520,220,51,9,0,6,223
5107,"Phillips County, Arkansas",19518,338,6748,12250,2,10,0,7,163
5109,"Pike County, Arkansas",10893,713,9538,304,49,78,0,0,211
5111,"Poinsett County, Arkansas",24098,684,21061,1342,43,14,0,0,954
5113,"Polk County, Arkansas",20212,1302,17792,102,221,98,0,66,631
5115,"Pope County, Arkansas",63372,5396,53699,1842,242,644,0,18,1531
5117,"Prairie County, Arkansas",8309,47,7059,1112,36,1,0,0,54
5119,"Pulaski County, Arkansas",392848,23616,208969,140952,758,8229,88,873,9363
5121,"Randolph County, Arkansas",17514,327,16648,165,98,0,0,0,276
5123,"St. Francis County, Arkansas",26688,704,10779,14763,67,140,0,41,194
5125,"Saline County, Arkansas",116252,5186,99831,7436,336,1285,126,91,1961
5127,"Scott County, Arkansas",10584,795,8942,22,140,375,0,12,298
5129,"Searcy County, Arkansas",7925,175,7406,15,83,106,0,0,140
5131,"Sebastian County, Arkansas",127362,17499,89716,8533,1459,5487,24,96,4548
5133,"Sevier County, Arkansas",17206,5655,10038,828,276,64,42,0,303
5135,"Sharp County, Arkansas",17041,364,15996,69,84,72,0,0,456
5137,"Stone County, Arkansas",12443,227,11814,10,75,11,0,0,306
5139,"Union County, Arkansas",40022,1516,24446,13087,329,217,0,66,361
5141,"Van Buren County, Arkansas",16751,489,15693,61,99,20,0,0,389
5143,"Washington County, Arkansas",223683,36813,160864,7630,1705,5384,4483,756,6048
5145,"White County, Arkansas",78706,3306,69609,3143,191,531,21,17,1888
5147,"Woodruff County, Arkansas",6763,33,4680,1858,0,100,6,5,81
5149,"Yell County, Arkansas",21601,4261,16325,430,165,305,0,30,85
6001,"Alameda County, California",1629615,367041,524881,175063,5008,468356,13000,4489,71777
6003,"Alpine County, California",1203,117,777,18,248,8,0,0,35
6005,"Amador County, California",37306,4943,29571,764,264,565,79,1,1119
6007,"Butte County, California",225207,35445,164184,3282,1639,9852,359,369,10077
6009,"Calaveras County, California",45057,5166,36932,258,391,527,208,56,1519
6011,"Colusa County, California",21479,12539,7800,186,230,328,16,54,326
6013,"Contra Costa County, California",1123678,284003,504818,93140,2668,177544,5195,3734,52576
6015,"Del Norte County, California",27442,5281,17233,484,1965,741,21,134,1583
6017,"El Dorado County, California",185015,23279,145153,1614,1054,7805,322,209,5579
6019,"Fresno County, California",971616,509442,293677,45217,4197,96128,1316,1799,19840
6021,"Glenn County, California",27935,11407,14663,212,468,729,82,0,374
6023,"Humboldt County, California",135490,14986,101460,1389,6196,3886,360,362,6851
6025,"Imperial County, California",179957,150108,20372,4109,1087,2263,152,138,1728
6027,"Inyo County, California",18195,3894,11557,172,1956,270,34,15,297
6029,"Kern County, California",878744,458907,310638,45024,4214,39808,1029,996,18128
6031,"Kings County, California",150183,80715,49728,8916,1200,5463,332,211,3618
6033,"Lake County, California",64095,12445,45957,1362,2045,920,32,90,1244
6035,"Lassen County, California",31470,5829,20812,2708,913,462,219,16,511
6037,"Los Angeles County, California",10105722,4893579,2676982,799579,19915,1442577,24950,28960,219180
6039,"Madera County, California",154440,87852,54145,4753,1647,3035,190,351,2467
6041,"Marin County, California",260814,41391,186382,5463,391,14754,301,2663,9469
6043,"Mariposa County, California",17658,1870,14309,215,416,168,56,0,624
6045,"Mendocino County, California",87497,21402,57682,560,2853,1495,186,245,3074
6047,"Merced County, California",267390,155650,77092,8007,797,19593,380,486,5385
6049,"Modoc County, California",9017,1317,7035,65,361,96,8,4,131
6051,"Mono County, California",14058,3815,9288,53,314,278,0,0,310
6053,"Monterey County, California",433168,250913,132600,10621,1066,24213,1958,578,11219
6055,"Napa County, California",141005,47547,75010,2877,395,10940,279,493,3464
6057,"Nevada County, California",98838,9109,84389,541,670,1090,90,201,2748
6059,"Orange County, California",3155816,1079172,1306398,49560,6584,615659,8714,5273,84456
6061,"Placer County, California",374985,51131,276754,5399,1304,25568,556,316,13957
6063,"Plumas County, California",18724,1599,15640,160,342,148,55,112,668
6065,"Riverside County, California",2355002,1130033,861271,140810,9584,143855,6026,4779,58644
6067,"Sacramento County, California",1495400,340656,684141,142416,5695,225851,15757,5580,75304
6069,"San Benito County, California",58671,34561,20872,437,178,1564,93,87,879
6071,"San Bernardino County, California",2121220,1108996,632557,168985,6935,142802,6057,4170,50718
6073,"San Diego County, California",3283665,1095458,1517153,154599,11725,376669,13122,6531,108408
6075,"San Francisco County, California",864263,131949,353000,43961,1435,292694,2925,4369,33930
6077,"San Joaquin County, California",724153,295606,240170,48175,1668,106817,3781,874,27062
6079,"San Luis Obispo County, California",280119,62174,194355,4958,1237,9998,280,109,7008
6081,"San Mateo County, California",763450,190045,304751,17457,985,207572,10554,2650,29436
6083,"Santa Barbara County, California",442996,198556,200723,7469,1287,23003,494,536,10928
6085,"Santa Clara County, California",1911226,498253,622266,45479,3104,667561,6264,4509,63790
6087,"Santa Cruz County, California",273263,91096,157988,2204,436,12022,165,460,8892
6089,"Shasta County, California",178919,17218,143919,1951,3917,5195,124,106,6489
6091,"Sierra County, California",2885,290,2509,4,28,0,0,0,54
6093,"Siskiyou County, California",43530,5218,33587,669,1262,686,127,35,1946
6095,"Solano County, California",434981,112098,169436,59862,1101,64546,3698,927,23313
6097,"Sonoma County, California",500943,132018,319805,6972,2602,19321,1453,2416,16356
6099,"Stanislaus County, California",535684,240816,232230,13607,2234,28680,3433,889,13795
6101,"Sutter County, California",95583,28910,45239,1768,644,14467,351,163,4041
6103,"Tehama County, California",63247,15316,43779,376,951,907,25,26,1867
6105,"Trinity County, California",13037,937,10796,104,557,141,118,14,370
6107,"Tulare County, California",458809,291867,135372,5973,3029,14622,526,711,6709
6109,"Tuolumne County, California",53899,6385,43565,924,713,593,114,39,1566
6111,"Ventura County, California",847834,358244,391128,13416,2439,59513,1212,873,21009
