FIPS,County,Pop_25+,Less than Ninth Grade,9-12 No Diploma,High School Graduate,Some College,Associate's Degree,Bachelor's Degree,Graduate/Professional Degree,White alone (not Hisp/Lat) Population,White alone (not Hisp/Lat) High School Graduate,White alone (not Hisp/Lat) Bachelor's Degree,Black alone Population,Black alone High School Graduate,Black alone Bachelor's Degree,Median Earnings,Less than High School Median Earnings,High School Graduate Median Earnings,Bachelor's Degree Median Earnings
1001,"Autauga County, Alabama",36757,1089,3432,12363,7893,2804,5316,3860,28545,25776,7762,6614,5193,979,36900,23077,28191,50404
1003,"Baldwin County, Alabama",143022,3673,10324,39771,31526,13760,29237,14731,122991,113522,40044,11694,8996,1997,34216,21429,26607,48816
1005,"Barbour County, Alabama",18434,1572,3388,6549,3354,1353,1403,815,9268,7316,1549,8326,5690,598,26344,21316,21573,41765
1007,"Bibb County, Alabama",15859,887,1946,6958,3140,831,1289,808,11979,10318,1738,3410,2346,279,31833,20435,30567,38388
1009,"Blount County, Alabama",39475,2893,5087,12740,8631,4952,3416,1756,35708,29680,5007,600,446,34,36757,26676,31179,50000
1011,"Bullock County, Alabama",7377,331,1782,2699,1257,318,485,505,1859,1656,508,5297,3435,482,27470,24444,30088,40521
1013,"Butler County, Alabama",13958,904,1741,5637,2324,1099,1342,911,7813,6660,1599,5744,4345,553,27010,19656,22249,42487
1015,"Calhoun County, Alabama",78975,3945,9309,25440,20338,5830,8092,6021,60405,50840,11274,14755,12209,2201,30675,17075,27459,38988
1017,"Chambers County, Alabama",23698,1436,3101,9109,5109,1785,2131,1027,14125,11919,2323,8845,6604,609,29137,21497,25583,44726
1019,"Cherokee County, Alabama",18797,1326,2524,7179,3922,1502,1237,1107,17398,13705,2198,826,745,106,32261,21385,30903,47096
1021,"Chilton County, Alabama",29697,1751,3640,12902,4923,1997,2809,1675,24749,20640,3948,2700,2276,242,31907,25566,28659,50639
1023,"Choctaw County, Alabama",9449,628,1253,3766,1845,857,745,355,5447,4486,716,3863,2981,319,30343,19917,27865,40972
1025,"Clarke County, Alabama",16921,919,2217,7503,2924,1165,1422,771,9497,8252,1867,7227,5352,272,34844,25055,31731,38385
1027,"Clay County, Alabama",9455,1203,1322,3188,1927,845,562,408,7821,5990,881,1317,868,60,26418,20766,27398,37879
1029,"Cleburne County, Alabama",10387,771,1741,3887,2242,463,807,476,9698,7475,1157,378,278,94,32711,22401,30466,40893
