Id,FIPS,county,pop16,lfpr,epop,ur,pop16black,lfprblack,epopblack,urblack,pop16white,lfprwhite,epopwhite,urwhite
0500000US01001,1001,"Autauga County, Alabama",42974,60.3,56.1,5.2,8018,57.6,53.9,6.1,32915,60,55.9,4.8
0500000US01003,1003,"Baldwin County, Alabama",163759,58,54.7,5.5,14603,55.8,50.5,8.8,138857,57.9,54.8,5.2
0500000US01005,1005,"Barbour County, Alabama",21241,47.7,41.8,12.4,9934,45.8,36.8,19.7,10291,48.4,45,7
0500000US01007,1007,"Bibb County, Alabama",18415,48.3,44.4,8.2,4140,39,34.2,12.2,13654,50.7,46.9,7.4
0500000US01009,1009,"Blount County, Alabama",45924,49,46.6,4.9,724,40.2,39.2,2.4,41097,49.2,46.7,5
0500000US01011,1011,"Bullock County, Alabama",8517,57.3,50.4,12.1,6211,57.7,48.9,15.1,2053,57.4,55,4.2
0500000US01013,1013,"Butler County, Alabama",16078,52.2,48.1,7.6,6912,52.2,46.3,11,8755,51.8,49,5.2
0500000US01015,1015,"Calhoun County, Alabama",93148,56.9,50.9,10.1,18692,58.6,49.1,16,69530,55.8,51,8
0500000US01017,1017,"Chambers County, Alabama",27447,56.6,52.9,6.4,10542,59.3,55.2,6.9,15945,54.1,50.7,6.4
0500000US01019,1019,"Cherokee County, Alabama",21387,48.8,46.2,5.3,1011,52.2,51.1,2.1,19754,49,46.6,5
0500000US01021,1021,"Chilton County, Alabama",34509,55,51.2,6.7,3354,48.7,43.3,11.1,28425,55.1,51.6,6.2
0500000US01023,1023,"Choctaw County, Alabama",10850,44,39.6,9.8,4571,38.8,33.5,13.6,6130,47.5,43.8,7.7
0500000US01025,1025,"Clarke County, Alabama",19863,47.1,39.9,15.2,8863,44.7,34.9,21.9,10762,48.6,43.5,10.6
0500000US01027,1027,"Clay County, Alabama",10878,54.1,50.6,6.4,1539,50.9,49.4,2.9,8899,54.3,50.7,6.6
0500000US01029,1029,"Cleburne County, Alabama",11843,52.9,48.5,7.8,381,25.2,17.3,31.3,11115,53.5,49.3,7.4
0500000US01031,1031,"Coffee County, Alabama",40416,59.7,53.5,6,6949,58.1,52.4,9.8,29484,59.8,53.7,5.2
0500000US01033,1033,"Colbert County, Alabama",44236,54,50.1,6.9,7147,54.7,47.5,12.4,35427,53.3,50.3,5.8
0500000US01035,1035,"Conecuh County, Alabama",10118,45.6,39,14.5,4494,49.6,39.9,19.6,5415,42.6,38.4,10
0500000US01037,1037,"Coosa County, Alabama",9295,47.3,41.9,11.3,3119,45.9,36.6,20.4,6147,48,44.7,6.8
0500000US01039,1039,"Covington County, Alabama",30269,54.4,48.5,10.7,3732,54.1,42.7,21.2,25620,54.4,49.4,9.1
