"","fips","zip"
"1",51057,22436
"2",51057,22437
"3",51057,22438
"4",51057,22454
"5",51057,22476
"6",51057,22504
"7",51057,22509
"8",51057,22560
"9",51135,23002
"10",51135,23083
"11",51057,23115
"12",51057,23148
"13",51025,23821
"14",51025,23824
"15",51135,23824
"16",51181,23839
"17",51181,23842
"18",51025,23843
"19",51025,23845
"20",51181,23846
"21",51025,23847
"22",51081,23847
"23",51025,23856
"24",51081,23856
"25",51025,23857
"26",51081,23867
"27",51025,23868
"28",51025,23876
"29",51081,23879
"30",51181,23881
"31",51181,23883
"32",51025,23887
"33",51181,23888
"34",51025,23889
"35",51181,23890
"36",51025,23893
"37",51181,23899
"38",51117,23915
"39",51117,23917
"40",51025,23919
"41",51117,23919
"42",51025,23920
"43",51117,23920
"44",51135,23922
"45",51117,23924
"46",51117,23927
"47",51135,23930
"48",51025,23938
"49",51025,23950
"50",51117,23950
"51",51083,23962
"52",51117,23964
"53",51117,23968
"54",51117,23970
"55",51690,24112
"56",51720,24273
"57",51640,24333
"58",51580,24426
"59",51083,24520
"60",51117,24529
"61",51083,24534
"62",51083,24539
"63",51590,24540
"64",51590,24541
"65",51083,24557
"66",51083,24558
"67",51083,24565
"68",51083,24569
"69",51083,24577
"70",51117,24580
"71",51083,24589
"72",51083,24592
"73",51083,24594
"74",51083,24597
"75",51083,24598
"76",51117,24598
"77",37181,27507
"78",37181,27536
"79",37181,27537
"80",37185,27537
"81",37195,27542
"82",37181,27544
"83",37185,27551
"84",37181,27553
"85",37185,27553
"86",37181,27556
"87",37195,27557
"88",37181,27563
"89",37185,27563
"90",37181,27565
"91",37185,27589
"92",37195,27803
"93",37015,27805
"94",37091,27805
"95",37195,27807
"96",37117,27812
"97",37195,27813
"98",37091,27818
"99",37131,27820
"100",37195,27822
"101",37083,27823
"102",37117,27825
"103",37177,27826
"104",37079,27828
"105",37195,27829
"106",37195,27830
"107",37131,27831
"108",37131,27832
"109",37083,27839
"110",37117,27840
"111",37117,27841
"112",37131,27842
"113",37185,27842
"114",37083,27843
"115",37117,27843
"116",37083,27844
"117",37185,27844
"118",37131,27845
"119",37117,27846
"120",37015,27847
"121",37015,27849
"122",37083,27850
"123",37185,27850
"124",37195,27851
"125",37195,27852
"126",37131,27853
"127",37091,27855
"128",37131,27855
"129",37117,27857
"130",37187,27860
"131",37117,27861
"132",37131,27862
"133",37079,27863
"134",37131,27866
"135",37131,27869
"136",37083,27870
"137",37117,27871
"138",37015,27872
"139",37195,27873
"140",37083,27874
"141",37131,27876
"142",37195,27878
"143",37195,27880
"144",37079,27883
"145",37195,27883
"146",37079,27888
"147",37195,27888
"148",37083,27890
"149",37083,27891
"150",37117,27892
"151",37195,27893
"152",37195,27896
"153",37091,27897
"154",37131,27897
"155",37139,27909
"156",37015,27910
"157",37091,27910
"158",37091,27922
"159",37015,27924
"160",37091,27924
"161",37177,27925
"162",37177,27928
"163",37187,27928
"164",37091,27942
"165",37015,27957
"166",37187,27962
"167",37015,27967
"168",37187,27970
"169",37015,27983
"170",37091,27986
"171",37007,28007
"172",37007,28091
"173",37007,28102
"174",37007,28103
"175",37007,28119
"176",37007,28133
"177",37007,28135
"178",37007,28170
"179",37165,28343
"180",37165,28345
"181",37165,28351
"182",37165,28352
"183",37165,28363
"184",37165,28364
"185",37165,28396
"186",37107,28501
"187",37107,28504
"188",37079,28513
"189",37107,28525
"190",37107,28526
"191",37079,28530
"192",37107,28530
"193",37079,28538
"194",37107,28538
"195",37079,28551
"196",37107,28551
"197",37079,28554
"198",37107,28572
"199",37107,28578
"200",37079,28580
"201",37107,28580
"202",45027,29001
"203",45009,29003
"204",45061,29009
"205",45061,29010
"206",45075,29018
"207",45061,29020
"208",45075,29030
"209",45061,29032
"210",45075,29038
"211",45075,29039
"212",45061,29040
"213",45009,29042
"214",45061,29046
"215",45075,29047
"216",45075,29048
"217",45027,29051
"218",45027,29056
"219",45089,29056
"220",45075,29059
"221",45061,29069
"222",45061,29080
"223",45009,29081
"224",45029,29081
"225",45009,29082
"226",45029,29082
"227",45027,29102
"228",45061,29104
"229",45075,29107
"230",45027,29111
"231",45089,29111
"232",45075,29112
"233",45075,29113
"234",45027,29114
"235",45075,29115
"236",45075,29117
"237",45075,29118
"238",45027,29125
"239",45061,29128
"240",45075,29133
"241",45075,29135
"242",45075,29137
"243",45075,29142
"244",45075,29146
"245",45027,29148
"246",45061,29153
"247",45027,29162
"248",45075,29163
"249",45009,29432
"250",45075,29432
"251",45029,29435
"252",45075,29436
"253",45029,29438
"254",45029,29446
"255",45029,29452
"256",45029,29472
"257",45029,29474
"258",45029,29475
"259",45009,29481
"260",45029,29481
"261",45029,29488
"262",45029,29493
