GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18000","Indiana",3,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",3588944,3553215,3552205,3593283,3634815,3674399,3720040,3682931,3523018,3525335,3590196,3642334,3684125,3740889,3796128,3847454,3892885
 "18000","Indiana",3,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",3029913,2996547,2987839,3011871,3030533,3055171,3069549,3035772,2867328,2874680,2916485,2976626,3009962,3054388,3104469,3150896,3185079
 "18000","Indiana",3,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",559031,556668,564366,581412,604282,619228,650491,647159,655690,650655,673711,665708,674163,686501,691659,696558,707806
 "18000","Indiana",3,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",62793,56675,53974,52527,52119,51048,52363,52258,52683,53288,53564,51174,51475,51241,50863,50627,49999
 "18000","Indiana",3,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",496238,499993,510392,528885,552163,568180,598128,594901,603007,597367,620147,614534,622688,635260,640796,645931,657807
 "18000","Indiana",3,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",77385,68216,65582,63328,63600,64241,64081,61520,63135,67194,64083,64931,63849,62774,61306,61183,62284
 "18000","Indiana",3,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",3511559,3484999,3486623,3529955,3571215,3610158,3655959,3621411,3459883,3458141,3526113,3577403,3620276,3678115,3734822,3786271,3830601
 "18000","Indiana",3,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",3080989,3049946,3045141,3089041,3130272,3166220,3205009,3160926,2998138,2999962,3074720,3130545,3177255,3234735,3291534,3340844,3385933
 "18000","Indiana",3,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",7398,7869,7155,7658,7907,7971,8629,8701,8644,8711,8815,9087,9390,10448,9517,9974,9758
 "18000","Indiana",3,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",9469,9154,9452,9217,9253,9668,10032,11067,10770,11890,11238,13612,13818,13675,13541,12893,13154
 "18000","Indiana",3,CAEMP25N,300,"22","   Utilities","Number of jobs",15336,14980,14695,14810,15090,15252,15374,15694,15743,15385,15007,14663,14524,14508,14517,14586,15103
 "18000","Indiana",3,CAEMP25N,400,"23","   Construction","Number of jobs",213180,208797,210526,215360,219527,222505,223826,214617,188285,179024,183154,189687,188483,188101,190094,198572,206542
 "18000","Indiana",3,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",626153,599062,582502,582240,581791,576394,562095,532997,456039,460751,477820,495945,507253,521966,533717,538741,551708
 "18000","Indiana",3,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",131989,128460,125811,127904,131504,133620,135605,134314,124630,122655,124786,125085,126236,131542,133985,127207,127980
 "18000","Indiana",3,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",423570,416012,411390,408268,408949,406616,404221,391778,376685,369457,376224,378949,384329,387949,394923,400498,401007
 "18000","Indiana",3,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",139010,133730,131981,135350,141862,145924,149479,145892,138358,138404,143267,147398,150415,154171,159716,164871,166118
 "18000","Indiana",3,CAEMP25N,900,"51","   Information","Number of jobs",51711,48213,47265,47629,47880,47709,48677,47948,45574,43888,42506,43675,43855,44435,41906,41148,39853
 "18000","Indiana",3,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",138371,136958,137010,135197,134073,134647,139618,143039,146262,142854,148616,146164,146474,144543,146692,151293,154399
