GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22000","Louisiana",5,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",2397993,2399216,2418747,2434481,2397386,2413797,2501135,2550836,2529953,2536560,2564944,2601174,2641657,2683615,2694755,2689751,2697447
 "22000","Louisiana",5,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",2012821,2001044,2004485,2012261,1980787,1948257,2011614,2035781,1995691,1982491,1996055,2016911,2038049,2066426,2074947,2048289,2044106
 "22000","Louisiana",5,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",385172,398172,414262,422220,416599,465540,489521,515055,534262,554069,568889,584263,603608,617189,619808,641462,653341
 "22000","Louisiana",5,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",28372,24596,23652,22945,22729,22254,24802,24769,24713,24442,24260,23858,23414,23342,23143,23116,22768
 "22000","Louisiana",5,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",356800,373576,390610,399275,393870,443286,464719,490286,509549,529627,544629,560405,580194,593847,596665,618346,630573
 "22000","Louisiana",5,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",37942,33914,30828,30638,30001,31121,32790,32545,33600,33352,32546,31039,29959,29528,31982,31005,31641
 "22000","Louisiana",5,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",2360051,2365302,2387919,2403843,2367385,2382676,2468345,2518291,2496353,2503208,2532398,2570135,2611698,2654087,2662773,2658746,2665806
 "22000","Louisiana",5,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",1952275,1950935,1971318,1987021,1960431,2000012,2079207,2117277,2089961,2094119,2134775,2182464,2233619,2287928,2300581,2299325,2308275
 "22000","Louisiana",5,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",19838,21787,18747,19528,18662,18069,18147,18490,18187,19972,18507,18798,19457,20162,18605,19193,18579
 "22000","Louisiana",5,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",58864,54426,55350,50896,52025,57976,60444,71480,67663,74166,70935,81930,83130,81493,76814,70558,69311
 "22000","Louisiana",5,CAEMP25N,300,"22","   Utilities","Number of jobs",10170,10211,10104,9952,9927,9785,9707,9804,9905,9867,9619,9432,9451,9175,9101,9195,9711
 "22000","Louisiana",5,CAEMP25N,400,"23","   Construction","Number of jobs",170741,165427,169411,168599,175340,196181,200716,198008,190024,176770,175979,181238,186904,193604,193279,197954,206448
 "22000","Louisiana",5,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",178189,166754,162158,158728,157479,158696,164375,159466,150233,144511,147999,150459,153672,156631,153485,146114,145660
 "22000","Louisiana",5,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",82678,82484,80996,81217,79437,79147,82065,81920,78257,76661,78991,79099,80248,84197,83262,77315,76086
 "22000","Louisiana",5,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",268593,267627,266562,266080,260099,263506,269309,267158,263978,259514,264609,266782,270596,274661,279962,281919,278508
 "22000","Louisiana",5,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",91892,90936,90533,89420,89693,90738,94573,94871,89888,89551,93483,96503,100068,103042,106839,104564,103745
 "22000","Louisiana",5,CAEMP25N,900,"51","   Information","Number of jobs",35239,33285,33778,34728,34182,32019,32839,33736,29718,29762,29266,30126,32292,31986,32302,29744,28945
 "22000","Louisiana",5,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",86433,88374,89830,87780,84661,85149,88176,94497,99964,100779,106319,105730,106808,105940,105186,108561,111058
 "22000","Louisiana",5,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",75858,76188,79279,82000,82356,91187,96672,100127,99050,103910,106752,108403,112327,115762,115771,118446,120261
