GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25000","Massachusetts",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",4075959,4021589,3991991,4028638,4071326,4110415,4202942,4215669,4115997,4115539,4175311,4253327,4353568,4448624,4631712,4710176,4777678
 "25000","Massachusetts",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",3455268,3386304,3327200,3316178,3328633,3358714,3401308,3406484,3292543,3300874,3338324,3420747,3474851,3541525,3610422,3674544,3719842
 "25000","Massachusetts",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",620691,635285,664791,712460,742693,751701,801634,809185,823454,814665,836987,832580,878717,907099,1021290,1035632,1057836
 "25000","Massachusetts",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",5784,5742,5539,5390,5359,5235,6547,6519,6487,6511,6519,6496,6620,6624,6682,6675,6674
 "25000","Massachusetts",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",614907,629543,659252,707070,737334,746466,795087,802666,816967,808154,830468,826084,872097,900475,1014608,1028957,1051162
 "25000","Massachusetts",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",10704,10594,10512,9512,9356,8890,10087,10377,10213,10187,10538,10929,11686,11710,11749,11404,11392
 "25000","Massachusetts",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",4065255,4010995,3981479,4019126,4061970,4101525,4192855,4205292,4105784,4105352,4164773,4242398,4341882,4436914,4619963,4698772,4766286
 "25000","Massachusetts",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",3607314,3553398,3535172,3582886,3624299,3659048,3744339,3751887,3653604,3650838,3714000,3789178,3886146,3975472,4159566,4235251,4303534
 "25000","Massachusetts",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",10611,12101,10661,11382,11310,11079,10959,11074,10724,10904,9550,9848,9830,9883,9956,10329,10261
 "25000","Massachusetts",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",2490,2378,2798,2756,2840,2861,2828,3008,2943,3285,2791,3428,3583,3408,3806,3749,3924
 "25000","Massachusetts",1,CAEMP25N,300,"22","   Utilities","Number of jobs",12332,11290,10957,10489,10081,10204,10529,10870,10829,11069,10952,10902,10909,11693,12216,13420,15683
 "25000","Massachusetts",1,CAEMP25N,400,"23","   Construction","Number of jobs",217577,215748,218923,228299,236312,238773,235328,225887,200883,192139,195903,201784,213264,220625,236423,248875,256534
 "25000","Massachusetts",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",399034,359935,333712,322372,315674,309679,306819,297562,271450,265144,265566,263666,263948,263394,263612,260842,260925
 "25000","Massachusetts",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",150825,145203,144453,147130,145709,148700,149463,147363,138545,133608,134634,132396,134847,140716,143178,137693,137332
 "25000","Massachusetts",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",410274,410226,409704,411738,412938,408029,408330,403325,390241,391694,396776,397266,401036,404336,414923,415315,414930
 "25000","Massachusetts",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",100152,95194,94185,93236,93337,93821,97283,96064,91768,92628,94738,97544,102504,114187,137642,153196,159285
 "25000","Massachusetts",1,CAEMP25N,900,"51","   Information","Number of jobs",122416,109471,102260,98938,100167,99824,101126,103263,97485,97857,97422,99566,99398,100021,103058,104596,106946
 "25000","Massachusetts",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",231865,230558,225847,222536,229267,231344,245850,256133,265482,257885,271356,267614,270908,264320,273754,282828,289322
 "25000","Massachusetts",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",122610,125958,134125,144861,155489,155738,162505,160946,160727,166621,173879,172862,179178,186722,195643,200470,205814
 "25000","Massachusetts",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",359279,344990,341859,356803,361755,371918,389427,399752,390653,388270,393724,401192,415556,426308,457359,462627,474812
 "25000","Massachusetts",1,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",70450,68724,66167,64778,65397,63423,62348,62922,60612,58981,60140,65004,65980,65520,67398,69238,71261
 "25000","Massachusetts",1,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",211839,203161,205916,215439,216636,223876,229630,224434,209129,214486,217375,219682,228320,234295,243825,249652,251401
