GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",1841585,1846234,1885916,1930599,1980809,2017131,2033370,1998599,1899261,1882775,1919034,1970646,2027186,2088043,2159851,2206171,2252645
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1507177,1502419,1521665,1547588,1581819,1606739,1598974,1565012,1452827,1435527,1453982,1497924,1539982,1579931,1628793,1669988,1705177
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",334408,343815,364251,383011,398990,410392,434396,433587,446434,447248,465052,472722,487204,508112,531058,536183,547468
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",307,280,256,244,240,231,243,240,234,231,227,224,228,226,231,229,230
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",334101,343535,363995,382767,398750,410161,434153,433347,446200,447017,464825,472498,486976,507886,530827,535954,547238
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",6162,7150,7092,5442,3535,3533,3335,2872,2572,2423,1948,1738,1751,1705,1480,1509,1551
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",1835423,1839084,1878824,1925157,1977274,2013598,2030035,1995727,1896689,1880352,1917086,1968908,2025435,2086338,2158371,2204662,2251094
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",1675422,1674259,1719027,1766960,1819282,1853869,1868102,1832840,1737671,1724522,1765091,1818312,1874585,1932583,2000091,2041486,2087009
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",1698,1612,1725,2343,2117,1914,2001,1882,1528,1497,1749,1507,1634,1655,1549,1435,1139
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",2191,1920,2372,2260,2608,2919,3364,4735,4469,5427,4410,5856,6151,5579,5529,5575,6056
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,300,"22","   Utilities","Number of jobs",3633,3697,3692,3779,3684,3743,4030,4280,4250,4223,4244,4265,3884,3477,3469,3496,3684
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,400,"23","   Construction","Number of jobs",104993,103206,108911,119591,130407,136627,132195,118704,100896,93087,94697,97998,104181,110026,118493,126182,131847
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",220392,201361,191735,192867,192286,192809,187495,181972,165451,160587,163603,168782,169036,169539,167821,167650,171099
