GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24000","Maryland",2,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",3119857,3156648,3191309,3247756,3310820,3378396,3440607,3430882,3359485,3345423,3394831,3438880,3493921,3537998,3603329,3656550,3697398
 "24000","Maryland",2,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",2595859,2616683,2620444,2643093,2673393,2708827,2725907,2714463,2633448,2622550,2647062,2683738,2702351,2727672,2767425,2804311,2828811
 "24000","Maryland",2,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",523998,539965,570865,604663,637427,669569,714700,716419,726037,722873,747769,755142,791570,810326,835904,852239,868587
 "24000","Maryland",2,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",12200,11618,11069,10782,10716,10379,10989,10973,10800,10805,10783,10592,10853,10771,10770,10848,10757
 "24000","Maryland",2,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",511798,528347,559796,593881,626711,659190,703711,705446,715237,712068,736986,744550,780717,799555,825134,841391,857830
 "24000","Maryland",2,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",18633,18197,16633,16137,15845,15675,15971,15409,15104,15552,15527,17067,16826,17187,16984,18347,17981
 "24000","Maryland",2,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",3101224,3138451,3174676,3231619,3294975,3362721,3424636,3415473,3344381,3329871,3379304,3421813,3477095,3520811,3586345,3638203,3679417
 "24000","Maryland",2,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",2582084,2604071,2640326,2704315,2764990,2825543,2882477,2864124,2787083,2765950,2811725,2852392,2908592,2953793,3019161,3071137,3110504
 "24000","Maryland",2,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",6412,7400,6438,6782,6890,6787,6554,6591,6390,6353,6027,6165,6300,6632,6223,6570,6369
 "24000","Maryland",2,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",3000,2623,2941,2823,3092,3353,3526,4044,3853,4343,3828,4956,4993,4526,4873,4712,4909
 "24000","Maryland",2,CAEMP25N,300,"22","   Utilities","Number of jobs",11156,10221,10267,10104,10111,10156,10469,10979,10624,10341,10707,10856,10710,10672,10804,11719,12821
 "24000","Maryland",2,CAEMP25N,400,"23","   Construction","Number of jobs",214351,214519,221321,234269,246735,254688,254984,241834,214261,201135,201067,205908,217667,220083,225169,236263,239026
 "24000","Maryland",2,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",174404,162277,152933,149065,145593,141823,139163,135453,126910,122311,121135,117583,116811,113658,113988,114546,118600
 "24000","Maryland",2,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",101599,100906,99392,101194,103282,104746,104377,101804,96457,94299,95776,95340,95464,99177,100748,95355,95461
 "24000","Maryland",2,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",349523,348220,349903,353173,358329,359833,362543,350624,334361,330859,337724,340102,341932,345021,348693,347366,345266
 "24000","Maryland",2,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",91473,90705,88027,89936,92056,94601,96327,92949,89709,89689,92003,95661,98741,105701,125877,140078,145253
 "24000","Maryland",2,CAEMP25N,900,"51","   Information","Number of jobs",69742,63199,61655,61204,62730,63940,64548,64004,59816,57322,54717,53075,53131,53240,51522,52250,51105
 "24000","Maryland",2,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",139770,142330,145925,146958,149173,151208,156987,160782,166728,160542,167841,165438,165222,160561,162348,167960,169972
 "24000","Maryland",2,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",123450,126968,135927,147175,161671,168599,174420,170203,164101,167117,170468,166751,168610,173832,178167,181257,187372
 "24000","Maryland",2,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",281701,283413,289866,300324,306131,313808,325451,331418,328486,329157,332245,337609,341646,345913,353670,356466,358753
 "24000","Maryland",2,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",11208,11237,11634,17357,19586,21470,22088,23436,22160,21838,24427,26892,28164,28171,28053,30643,30581
 "24000","Maryland",2,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",189715,192203,196742,203820,203894,211415,215154,210674,201001,204141,205621,212881,223655,227495,228163,236265,236146
 "24000","Maryland",2,CAEMP25N,1500,"61","   Educational services","Number of jobs",68760,75438,76404,79179,81787,83737,85899,88505,90546,92378,92533,94236,95718,100323,102014,103543,106067
 "24000","Maryland",2,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",317678,329031,339054,343197,348283,359334,371325,379524,388917,395786,403984,412616,418579,421432,431633,435471,441887
 "24000","Maryland",2,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",61813,64525,65092,68204,69956,71893,74346,75770,74870,75685,77107,79883,84136,88161,87806,89401,90801
 "24000","Maryland",2,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",187984,193559,198116,198399,204281,208627,212654,215136,210368,209486,214167,222362,229814,235157,241463,246648,254166
 "24000","Maryland",2,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",178345,185297,188689,191152,191410,195525,201662,200394,197525,193168,200348,204078,207299,214038,217947,214624,215949
 "24000","Maryland",2,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",519140,534380,534350,527304,529985,537178,542159,551349,557298,563921,567579,569421,568503,567018,567184,567066,568913
 "24000","Maryland",2,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",151149,159655,159711,158574,157481,156804,156524,158731,163399,172020,175811,175480,173787,172070,173110,174895,175887
 "24000","Maryland",2,CAEMP25N,2002,"...","   Military","Number of jobs",49913,50383,49834,47469,47030,47539,46487,46730,46350,46402,48433,50016,49956,48999,50297,50119,50172
 "24000","Maryland",2,CAEMP25N,2010,"...","   State and local","Number of jobs",318078,324342,324805,321261,325474,332835,339148,345888,347549,345499,343335,343925,344760,345949,343777,342052,342854
 "24000","Maryland",2,CAEMP25N,2011,"...","    State government","Number of jobs",98384,99227,97995,96844,97549,98081,99280,100516,100987,101553,100707,101135,101100,100774,99598,98426,98509
 "24000","Maryland",2,CAEMP25N,2012,"...","    Local government","Number of jobs",219694,225115,226810,224417,227925,234754,239868,245372,246562,243946,242628,242790,243660,245175,244179,243626,244345
 "24001","Allegany, MD",2,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",37402,37166,37037,37676,38310,38361,37842,37675,37288,37560,37414,37235,36962,36867,37245,37036,36778
 "24001","Allegany, MD",2,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",32086,31880,31787,32316,32694,32697,31911,31833,31361,31705,31484,31267,31082,31034,31305,31635,31280
 "24001","Allegany, MD",2,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",5316,5286,5250,5360,5616,5664,5931,5842,5927,5855,5930,5968,5880,5833,5940,5401,5498
 "24001","Allegany, MD",2,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",278,267,264,261,265,262,282,278,274,274,272,268,273,271,267,270,267
 "24001","Allegany, MD",2,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",5038,5019,4986,5099,5351,5402,5649,5564,5653,5581,5658,5700,5607,5562,5673,5131,5231
 "24001","Allegany, MD",2,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",296,286,281,279,282,280,300,293,287,287,283,282,286,285,281,287,283
 "24001","Allegany, MD",2,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",37106,36880,36756,37397,38028,38081,37542,37382,37001,37273,37131,36953,36676,36582,36964,36749,36495
 "24001","Allegany, MD",2,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",30672,30393,30273,30841,31537,31583,31183,30710,30309,30551,30527,30384,30155,30139,30500,30416,30212
 "24001","Allegany, MD",2,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",94,112,(D),104,101,74,(D),63,58,57,50,(D),(D),59,53,40,40
 "24001","Allegany, MD",2,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",130,138,148,151,168,144,(D),143,115,139,162,(D),(D),152,156,134,139
