GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23000","Maine",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",787577,790609,794507,807625,809353,817622,828212,823517,800501,791331,794389,796903,803641,811156,816944,826971,835702
 "23000","Maine",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",627326,626306,627164,632278,627819,632651,635466,635038,612929,607945,608840,611800,615236,619376,624837,632306,637895
 "23000","Maine",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",160251,164303,167343,175347,181534,184971,192746,188479,187572,183386,185549,185103,188405,191780,192107,194665,197807
 "23000","Maine",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",7038,7099,6909,6731,6619,6472,7348,7309,7315,7381,7519,7450,7545,7548,7560,7550,7549
 "23000","Maine",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",153213,157204,160434,168616,174915,178499,185398,181170,180257,176005,178030,177653,180860,184232,184547,187115,190258
 "23000","Maine",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",10901,10931,10811,9945,9715,9284,10052,10255,10162,10189,10590,11082,11695,11714,11711,11425,11416
 "23000","Maine",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",776676,779678,783696,797680,799638,808338,818160,813262,790339,781142,783799,785821,791946,799442,805233,815546,824286
 "23000","Maine",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",667290,668637,671478,685283,687763,695766,705334,700338,678739,670309,675067,677687,684963,692711,699100,708437,716964
 "23000","Maine",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",15813,17030,14369,15685,16057,15885,15460,(D),(D),14102,13967,(D),15298,15434,14805,15053,14957
 "23000","Maine",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",516,420,491,493,483,504,723,(D),(D),824,833,(D),1198,1059,1176,1196,1267
 "23000","Maine",1,CAEMP25N,300,"22","   Utilities","Number of jobs",2357,2301,2091,2008,2035,1978,2110,2115,2021,1979,1738,1752,1746,1694,1836,1971,2195
 "23000","Maine",1,CAEMP25N,400,"23","   Construction","Number of jobs",55263,54464,57894,60223,62258,63427,63291,60140,54696,51301,50798,51248,51264,51575,51779,53732,55315
 "23000","Maine",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",78734,72282,68285,67509,65180,64189,64193,63296,57501,55116,55597,55737,55911,55382,55861,56300,57019
 "23000","Maine",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",22710,22188,23037,23898,24028,24001,23882,23247,21995,21377,21643,21833,22013,23471,24019,22393,21932
 "23000","Maine",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",105453,105731,105651,107393,107078,105264,105883,104035,100758,99047,99380,98735,99086,99681,99394,99773,99255
 "23000","Maine",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",19853,19678,19260,19473,19560,21744,22642,21838,20639,20079,20248,20228,20592,20956,21444,21932,22640
 "23000","Maine",1,CAEMP25N,900,"51","   Information","Number of jobs",13743,12990,12998,12899,13323,13330,12765,12235,11270,11208,10492,10053,9888,9838,9827,10068,9705
 "23000","Maine",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",33054,33199,33052,32750,32197,31819,32518,32997,33936,33227,34833,34070,34251,32041,32356,32943,33612
 "23000","Maine",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",20753,21597,22756,25053,26976,28073,28998,28875,28642,29545,30503,30058,30621,31689,32226,33396,34180
 "23000","Maine",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",38708,38638,38807,40534,40376,41120,42609,43149,41989,41841,41432,41686,42979,43706,44560,44706,45496
 "23000","Maine",1,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",6189,6520,6067,5912,5771,6423,6638,7359,7241,7335,7470,7949,7764,9568,9658,10804,11337
 "23000","Maine",1,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",32453,33303,34030,33359,33421,35074,37382,38476,38070,38325,39244,39061,40562,42037,42024,42584,42245
 "23000","Maine",1,CAEMP25N,1500,"61","   Educational services","Number of jobs",14148,14701,15347,15521,15883,16571,17068,17455,17733,18557,18322,18730,19411,20104,20525,21028,21378
 "23000","Maine",1,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",98492,101527,103570,107388,107841,110307,112213,113068,113496,113044,112883,113749,113853,113667,115427,116231,117851
 "23000","Maine",1,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",16387,17239,17611,17693,17822,17962,18547,18792,18433,18838,19005,19986,20042,20209,20048,20735,21121
 "23000","Maine",1,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",53548,54411,55377,56168,56131,56802,56925,56492,55914,56499,57299,57979,59042,60183,60792,62185,63835
 "23000","Maine",1,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",39116,40418,40785,41324,41343,41293,41487,40649,39437,38065,39380,38615,39442,40417,41343,41407,41624
 "23000","Maine",1,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",109386,111041,112218,112397,111875,112572,112826,112924,111600,110833,108732,108134,106983,106731,106133,107109,107322
 "23000","Maine",1,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",13551,13958,14098,14113,13839,14105,14150,14600,15006,15441,14680,14501,14158,14046,14514,15030,15257
 "23000","Maine",1,CAEMP25N,2002,"...","   Military","Number of jobs",10005,9862,10381,10123,9630,9530,9055,9146,8293,7799,7380,7293,7145,7026,6932,6798,6800
 "23000","Maine",1,CAEMP25N,2010,"...","   State and local","Number of jobs",85830,87221,87739,88161,88406,88937,89621,89178,88301,87593,86672,86340,85680,85659,84687,85281,85265
 "23000","Maine",1,CAEMP25N,2011,"...","    State government","Number of jobs",26377,26791,26616,26875,27130,27437,28208,27987,27763,27723,27241,27087,26808,26914,26232,26582,26397
 "23000","Maine",1,CAEMP25N,2012,"...","    Local government","Number of jobs",59453,60430,61123,61286,61276,61500,61413,61191,60538,59870,59431,59253,58872,58745,58455,58699,58868
 "23001","Androscoggin, ME",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",59480,60214,60114,60631,60554,61323,62993,62500,60515,60259,60362,60347,60398,61285,61733,62446,62493
 "23001","Androscoggin, ME",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",50670,51358,50876,50865,50529,51154,52057,51891,49857,49854,49899,49958,50147,51049,51450,51975,51850
 "23001","Androscoggin, ME",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",8810,8856,9238,9766,10025,10169,10936,10609,10658,10405,10463,10389,10251,10236,10283,10471,10643
 "23001","Androscoggin, ME",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",312,314,305,299,295,288,327,344,363,386,412,425,431,431,433,433,433
 "23001","Androscoggin, ME",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",8498,8542,8933,9467,9730,9881,10609,10265,10295,10019,10051,9964,9820,9805,9850,10038,10210
 "23001","Androscoggin, ME",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",823,870,819,682,625,554,551,569,564,570,599,632,668,668,669,653,653
 "23001","Androscoggin, ME",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",58657,59344,59295,59949,59929,60769,62442,61931,59951,59689,59763,59715,59730,60617,61064,61793,61840
 "23001","Androscoggin, ME",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",52685,53189,53227,53830,53836,54721,56380,55878,54021,53857,54024,53954,54021,54870,55363,56111,56094
 "23001","Androscoggin, ME",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",254,314,272,327,323,283,292,307,304,(D),(D),(D),(D),(D),(D),299,(D)
 "23001","Androscoggin, ME",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",8,2,5,13,12,9,13,17,6,(D),(D),(D),(D),(D),(D),68,(D)
 "23001","Androscoggin, ME",1,CAEMP25N,300,"22","   Utilities","Number of jobs",(D),(D),102,104,105,(D),99,96,92,(D),75,(D),(D),122,137,149,164
 "23001","Androscoggin, ME",1,CAEMP25N,400,"23","   Construction","Number of jobs",4101,3960,(D),(D),(D),4695,(D),(D),3968,3802,3803,3720,3801,3806,3867,3958,4040
 "23001","Androscoggin, ME",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",7267,6993,6673,6481,6604,6542,6430,6344,5520,5183,5192,5161,5174,5306,5417,5410,5413
 "23001","Androscoggin, ME",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",1768,1743,1853,1923,1850,(D),1811,1842,1734,(D),1715,(D),(D),1821,1802,1767,1751
 "23001","Androscoggin, ME",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",8715,8626,8287,8409,8212,7972,8191,7954,7620,7688,7747,7783,7602,7640,7514,7646,7598
 "23001","Androscoggin, ME",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",1632,1605,1662,1695,1751,2219,2700,2666,2542,2603,2549,2422,2533,2679,2732,2792,2896
 "23001","Androscoggin, ME",1,CAEMP25N,900,"51","   Information","Number of jobs",853,792,757,871,863,908,990,1013,874,862,810,808,719,636,633,628,565
 "23001","Androscoggin, ME",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),3447,3343,3348,3353,3383,2489,2488,2488,2465
 "23001","Androscoggin, ME",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",1259,1484,1563,1652,1764,1836,1936,1889,1844,1833,1910,1921,1915,1898,1755,1876,1944
 "23001","Androscoggin, ME",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",3255,3210,3070,2836,2814,2953,2878,2790,2816,2847,2925,2939,2961,3015,3130,3185,3269
 "23001","Androscoggin, ME",1,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",241,297,307,360,341,296,382,414,384,364,354,323,279,1206,1253,1270,1275
 "23001","Androscoggin, ME",1,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",3358,3983,4098,3452,3457,3427,3792,3825,3772,4150,4456,4346,4387,4634,4717,4613,4386
 "23001","Androscoggin, ME",1,CAEMP25N,1500,"61","   Educational services","Number of jobs",1716,1724,1716,1733,1648,1766,1771,1861,1830,1875,1916,1882,1951,1976,1988,1947,1966
 "23001","Androscoggin, ME",1,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",8599,8632,8732,9620,9591,9759,10333,10340,10547,10598,10262,10472,10374,10507,10726,11077,11005
 "23001","Androscoggin, ME",1,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",763,790,873,901,812,(D),884,926,885,879,860,877,846,824,809,854,829
 "23001","Androscoggin, ME",1,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",3062,3103,3172,3245,3277,3462,3477,3429,3280,3245,3262,3298,3433,3461,3485,3457,3536
 "23001","Androscoggin, ME",1,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",2712,2712,2619,2654,2651,2676,2630,2583,2556,2486,2546,2536,2492,2525,2582,2627,2630
 "23001","Androscoggin, ME",1,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",5972,6155,6068,6119,6093,6048,6062,6053,5930,5832,5739,5761,5709,5747,5701,5682,5746
