GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26000","Michigan",3,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",5526201,5466159,5441706,5467568,5491738,5457450,5457408,5337644,5046501,5038194,5165348,5234473,5323762,5413025,5502276,5577377,5646377
 "26000","Michigan",3,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",4668086,4584913,4515471,4496353,4480377,4418188,4363103,4245510,3944323,3936587,4026177,4101235,4179314,4254464,4326978,4403195,4450757
 "26000","Michigan",3,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",858115,881246,926235,971215,1011361,1039262,1094305,1092134,1102178,1101607,1139171,1133238,1144448,1158561,1175298,1174182,1195620
 "26000","Michigan",3,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",54199,52106,50264,48792,48264,47085,49202,47686,46948,46869,46484,45621,45956,45629,45763,45624,45171
 "26000","Michigan",3,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",803916,829140,875971,922423,963097,992177,1045103,1044448,1055230,1054738,1092687,1087617,1098492,1112932,1129535,1128558,1150449
 "26000","Michigan",3,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",73091,69650,69512,69568,67440,65059,70402,65251,64682,63240,70015,65906,67863,68610,70963,69512,64860
 "26000","Michigan",3,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",5453110,5396509,5372194,5398000,5424298,5392391,5387006,5272393,4981819,4974954,5095333,5168567,5255899,5344415,5431313,5507865,5581517
 "26000","Michigan",3,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",4754342,4694393,4673696,4704698,4734983,4713053,4712976,4608654,4322035,4323483,4464001,4548781,4645048,4738316,4827289,4898669,4968226
 "26000","Michigan",3,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",13724,14017,12865,13967,14626,13978,14565,15070,14875,15085,15417,16230,16414,17616,16781,17016,16873
 "26000","Michigan",3,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",14293,12756,13841,12947,13232,13862,14317,17472,16440,19306,17040,22187,22749,21281,21097,20668,21564
 "26000","Michigan",3,CAEMP25N,300,"22","   Utilities","Number of jobs",21607,20865,21037,20950,21306,21183,21138,21590,20857,20078,19745,19655,19829,20289,20580,21214,21986
 "26000","Michigan",3,CAEMP25N,400,"23","   Construction","Number of jobs",305196,296950,293288,300167,304063,290796,278243,259726,228763,218708,222628,227178,234018,243060,248542,260099,269865
 "26000","Michigan",3,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",845420,774177,732277,711099,690497,663841,639049,592683,483555,491546,527684,553205,572496,592666,611840,627540,644923
 "26000","Michigan",3,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",195842,189578,187414,186136,186699,187392,185372,182549,168390,165965,172287,175674,180498,192419,195299,188291,188520
 "26000","Michigan",3,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",645399,631818,626573,621850,617427,606525,598971,577855,549529,537662,544484,543722,550526,556953,565888,568302,569636
 "26000","Michigan",3,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",135150,133777,130654,132202,137541,140065,143907,138421,127259,127152,134217,139119,143245,148519,161419,165697,171585
 "26000","Michigan",3,CAEMP25N,900,"51","   Information","Number of jobs",87554,83617,81765,80431,79560,77985,78055,75563,71997,70478,69751,69394,71299,74764,73108,73488,70408
 "26000","Michigan",3,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",208288,212382,216674,216206,217823,217071,223865,227786,230308,222565,235906,236624,239961,233572,236888,247071,255639
 "26000","Michigan",3,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",181308,186167,196207,208614,219621,218848,224001,221234,216562,222344,229902,224729,228761,237764,241398,246625,253782
 "26000","Michigan",3,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",356162,358134,353249,357012,357225,357742,366141,361497,340066,344635,355566,367791,381934,390594,403332,409481,408621
 "26000","Michigan",3,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",66138,68847,66363,68350,66283,64091,59636,58045,52419,51685,54390,55834,58409,59797,61413,66819,74520
 "26000","Michigan",3,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",324429,326508,333514,343734,352466,357107,359755,350428,319767,335109,358122,367299,376310,377538,375219,375662,371442
 "26000","Michigan",3,CAEMP25N,1500,"61","   Educational services","Number of jobs",73296,78019,83669,87445,92267,95969,97058,98309,100490,103172,102841,103781,108969,112367,113372,109090,109886
 "26000","Michigan",3,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",544799,556845,571616,579419,593525,610484,630052,638010,634027,636286,643032,651768,651885,651835,662709,673907,680278
 "26000","Michigan",3,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",98019,100220,101394,102500,104098,104435,102693,104097,101056,100991,99000,99721,100639,103486,101905,105479,107723
 "26000","Michigan",3,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",350266,354553,356129,360360,362770,366370,369642,363720,348786,346914,355405,365200,374027,382644,388643,399381,405591
 "26000","Michigan",3,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",287452,295163,295167,301309,303954,305309,306516,304599,296889,293802,306584,309670,313079,321152,327856,322839,325384
 "26000","Michigan",3,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",698768,702116,698498,693302,689315,679338,674030,663739,659784,651471,631332,619786,610851,606099,604024,609196,613291
 "26000","Michigan",3,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",54648,55855,56252,55611,54841,54278,53769,53579,54761,57495,53368,52856,51926,51099,51523,52212,52685
 "26000","Michigan",3,CAEMP25N,2002,"...","   Military","Number of jobs",21993,22360,22649,21962,20754,21052,20933,20543,20559,20725,20482,19863,18864,18389,17953,17687,17849
 "26000","Michigan",3,CAEMP25N,2010,"...","   State and local","Number of jobs",622127,623901,619597,615729,613720,604008,599328,589617,584464,573251,557482,547067,540061,536611,534548,539297,542757
 "26000","Michigan",3,CAEMP25N,2011,"...","    State government","Number of jobs",172664,171100,166196,164950,166939,168884,171544,171634,175912,178954,176640,176781,177204,177800,179888,183396,185746
 "26000","Michigan",3,CAEMP25N,2012,"...","    Local government","Number of jobs",449463,452801,453401,450779,446781,435124,427784,417983,408552,394297,380842,370286,362857,358811,354660,355901,357011
 "26001","Alcona, MI",3,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",3348,3294,3302,3400,3362,3266,3274,3171,3024,2931,3065,3035,3079,3151,3160,3213,3303
 "26001","Alcona, MI",3,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1996,1995,2018,2054,2025,1972,1945,1863,1725,1693,1747,1729,1804,1876,1894,1925,1994
 "26001","Alcona, MI",3,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",1352,1299,1284,1346,1337,1294,1329,1308,1299,1238,1318,1306,1275,1275,1266,1288,1309
