GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33000","New Hampshire",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",788168,788484,797648,812823,825600,835582,848001,844862,820809,813707,818789,824361,835032,844623,860799,873508,883304
 "33000","New Hampshire",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",640657,635883,637305,643788,648879,655750,658831,656967,633060,629907,633733,640426,647086,655565,666446,676434,682227
 "33000","New Hampshire",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",147511,152601,160343,169035,176721,179832,189170,187895,187749,183800,185056,183935,187946,189058,194353,197074,201077
 "33000","New Hampshire",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",3264,3481,3404,3328,3327,3265,3983,3979,3997,4048,4041,4071,4124,4127,4147,4141,4141
 "33000","New Hampshire",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",144247,149120,156939,165707,173394,176567,185187,183916,183752,179752,181015,179864,183822,184931,190206,192933,196936
 "33000","New Hampshire",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",4882,5045,4992,4630,4577,4396,5066,5159,5137,5173,5270,5521,5782,5791,5805,5689,5685
 "33000","New Hampshire",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",783286,783439,792656,808193,821023,831186,842935,839703,815672,808534,813519,818840,829250,838832,854994,867819,877619
 "33000","New Hampshire",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",695243,692225,699318,716337,729122,737593,748254,744061,719441,710810,718207,723916,734560,743778,760136,773340,783240
 "33000","New Hampshire",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",3445,3591,3113,3238,3347,3172,3226,3305,3091,2943,2952,3298,3298,3288,3189,3199,3200
 "33000","New Hampshire",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",882,779,905,922,950,1023,1268,1311,1176,1369,1221,1697,1582,1556,1619,1737,1808
 "33000","New Hampshire",1,CAEMP25N,300,"22","   Utilities","Number of jobs",2885,2809,2697,2656,2639,2632,2670,2651,2677,2659,2583,2574,2617,2470,2385,2546,2768
 "33000","New Hampshire",1,CAEMP25N,400,"23","   Construction","Number of jobs",52596,53694,56926,59423,61893,62016,59955,56866,51883,48861,48688,48849,49435,49728,50542,52879,54532
 "33000","New Hampshire",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",101279,88690,83834,83681,83835,82294,82210,80222,72737,69976,71204,70685,71139,71430,72398,73556,74965
 "33000","New Hampshire",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",29341,29474,29439,30296,30717,31313,31589,31217,29540,28874,29372,29617,29718,31541,32288,30783,30925
 "33000","New Hampshire",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",111706,113429,114186,115212,116130,117089,117093,114766,110782,109135,109891,110612,111322,111013,112045,112853,112394
 "33000","New Hampshire",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",16907,16688,16887,16751,17178,17049,17278,16728,16098,15644,15905,16233,16376,16491,17769,18906,19311
 "33000","New Hampshire",1,CAEMP25N,900,"51","   Information","Number of jobs",15581,14597,14254,14752,15316,15111,15095,15381,14940,13821,13771,14572,14545,14777,14847,15231,15256
 "33000","New Hampshire",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",34156,35158,35661,36226,37112,37480,39205,40613,41480,40539,42227,42585,43056,42120,43284,45254,43602
 "33000","New Hampshire",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",25752,26521,28607,31275,33772,34097,34751,34475,33885,34620,35684,34898,35825,36673,37298,38717,39764
 "33000","New Hampshire",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",47002,46396,46891,49603,51024,52583,55590,56400,54516,54270,54381,54701,56568,57158,59517,59624,63574
 "33000","New Hampshire",1,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",7368,6864,6589,7468,7829,7869,8121,8683,8420,8521,8621,8736,8728,8826,9281,9883,9971
 "33000","New Hampshire",1,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",34107,34156,35644,36886,36981,38900,40932,40792,39042,40467,40873,41909,43196,45577,46728,47187,47402
 "33000","New Hampshire",1,CAEMP25N,1500,"61","   Educational services","Number of jobs",23520,25166,26032,25954,26408,26359,26438,26754,27027,26865,26538,26851,27916,28738,30129,30760,31041
 "33000","New Hampshire",1,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",78421,80605,82611,83963,85467,88378,91571,93360,94722,94964,95114,95647,96337,96872,99020,100761,101975
 "33000","New Hampshire",1,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",17832,18563,19036,19876,19467,19822,20212,20847,20553,20920,21222,21322,21453,21489,21659,22303,22622
 "33000","New Hampshire",1,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",52803,54106,54744,56417,56810,57527,57524,57300,55416,55890,56850,57754,59537,60940,62123,63257,64165
 "33000","New Hampshire",1,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",39660,40939,41262,41738,42247,42879,43526,42390,41456,40472,41110,41376,41912,43091,44015,43904,43965
 "33000","New Hampshire",1,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",88043,91214,93338,91856,91901,93593,94681,95642,96231,97724,95312,94924,94690,95054,94858,94479,94379
 "33000","New Hampshire",1,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",7939,8073,8006,7902,7898,7926,7806,7816,7793,8046,7424,7400,7403,7410,7540,7658,7631
 "33000","New Hampshire",1,CAEMP25N,2002,"...","   Military","Number of jobs",4279,4310,4464,4286,4018,3967,3943,4270,4544,4705,4654,4647,4668,4577,4624,4713,4679
 "33000","New Hampshire",1,CAEMP25N,2010,"...","   State and local","Number of jobs",75825,78831,80868,79668,79985,81700,82932,83556,83894,84973,83234,82877,82619,83067,82694,82108,82069
 "33000","New Hampshire",1,CAEMP25N,2011,"...","    State government","Number of jobs",23868,24888,25649,24090,23486,24204,24985,25145,24956,26068,25362,24928,24917,25452,25736,25397,25339
 "33000","New Hampshire",1,CAEMP25N,2012,"...","    Local government","Number of jobs",51957,53943,55219,55578,56499,57496,57947,58411,58938,58905,57872,57949,57702,57615,56958,56711,56730
 "33001","Belknap, NH",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",36771,36610,37195,38449,38525,38922,39537,38990,37774,36866,36866,37096,37594,37485,37866,37655,37992
