GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42000","Pennsylvania",2,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",6915464,6887155,6875863,6951840,7053674,7152678,7265045,7278608,7101557,7119776,7217098,7284519,7350854,7437412,7513222,7597336,7685285
 "42000","Pennsylvania",2,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",5876807,5839694,5796960,5827156,5881953,5945739,5982190,5983782,5789273,5794226,5852406,5907982,5933931,5987610,6037780,6086529,6144339
 "42000","Pennsylvania",2,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",1038657,1047461,1078903,1124684,1171721,1206939,1282855,1294826,1312284,1325550,1364692,1376537,1416923,1449802,1475442,1510807,1540946
 "42000","Pennsylvania",2,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",60684,57614,55608,53981,53617,52305,56195,55525,54973,54863,54584,53740,54301,53875,53258,53475,53280
 "42000","Pennsylvania",2,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",977973,989847,1023295,1070703,1118104,1154634,1226660,1239301,1257311,1270687,1310108,1322797,1362622,1395927,1422184,1457332,1487666
 "42000","Pennsylvania",2,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",83528,80423,75372,73467,72733,72516,75661,72853,71790,73413,73121,77942,76621,74971,76481,81500,80282
 "42000","Pennsylvania",2,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",6831936,6806732,6800491,6878373,6980941,7080162,7189384,7205755,7029767,7046363,7143977,7206577,7274233,7362441,7436741,7515836,7605003
 "42000","Pennsylvania",2,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",6039549,5998145,5983970,6063145,6166770,6265394,6378582,6388803,6207573,6222210,6338441,6418912,6485125,6580669,6661369,6742109,6831882
 "42000","Pennsylvania",2,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",15731,16879,15257,16012,16671,16839,17455,18106,17325,17241,17292,18279,18829,19455,18577,19027,18926
 "42000","Pennsylvania",2,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",27200,25400,26300,25893,26580,28751,32383,36149,35327,43956,47780,59409,58309,58887,56392,48345,51334
 "42000","Pennsylvania",2,CAEMP25N,300,"22","   Utilities","Number of jobs",33354,31651,28117,26055,23094,21683,21897,22839,22522,22757,23685,23676,23503,22938,26115,26846,28439
 "42000","Pennsylvania",2,CAEMP25N,400,"23","   Construction","Number of jobs",375449,366929,374499,386096,399506,409046,412167,399923,365015,352409,355874,362346,364709,370677,371279,381103,394210
 "42000","Pennsylvania",2,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",840880,777521,727908,706736,696654,692971,680846,666825,602437,585176,591597,594524,593892,596959,597712,590835,596360
 "42000","Pennsylvania",2,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",246748,242810,244809,248861,254425,259790,261120,259487,245773,243273,248965,248222,246444,257557,257063,240295,238702
 "42000","Pennsylvania",2,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",806059,798196,799811,801773,805600,801024,801064,785352,762903,757016,766430,768880,772161,773963,775944,773549,765259
 "42000","Pennsylvania",2,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",241513,243804,241813,245509,252097,256996,264585,262009,253325,252780,260324,265506,270996,279564,304195,329794,340462
 "42000","Pennsylvania",2,CAEMP25N,900,"51","   Information","Number of jobs",146753,134734,131594,126355,125612,124904,124768,122700,115620,109616,108092,107104,105702,103417,101988,102317,101126
