GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44000","Rhode Island",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",585235,588132,594108,602399,605736,611123,617985,608905,588284,586363,591692,592978,602429,613264,627005,632532,639149
 "44000","Rhode Island",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",498580,498821,502188,505747,505702,508017,508026,497535,475472,474027,475367,477449,483908,491596,499350,502469,506216
 "44000","Rhode Island",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",86655,89311,91920,96652,100034,103106,109959,111370,112812,112336,116325,115529,118521,121668,127655,130063,132933
 "44000","Rhode Island",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",770,766,725,702,691,669,938,942,997,1021,1043,1047,1072,1064,1086,1085,1084
 "44000","Rhode Island",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",85885,88545,91195,95950,99343,102437,109021,110428,111815,111315,115282,114482,117449,120604,126569,128978,131849
 "44000","Rhode Island",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",1430,1426,1402,1264,1236,1168,1422,1469,1507,1524,1593,1584,1685,1679,1700,1657,1655
 "44000","Rhode Island",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",583805,586706,592706,601135,604500,609955,616563,607436,586777,584839,590099,591394,600744,611585,625305,630875,637494
 "44000","Rhode Island",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",506980,509146,514839,524226,528799,534786,541157,532776,513396,511736,517837,519955,529013,539766,553431,558782,565062
 "44000","Rhode Island",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(D),(D),1928,2071,2048,1978,1957,1915,1824,(D),(D),1760,(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",(D),(D),438,401,448,461,492,528,474,(D),(D),631,(D),(D),(D),(D),(D)
