FIPS,County,Population,Black Alone,White Total,White Total Percent,Black Total,White Alone Percent
1001,"Autauga County, Alabama",55036,10510,43036,78.2,10777,76.6
1003,"Baldwin County, Alabama",203360,19414,178615,87.8,20057,86.5
1005,"Barbour County, Alabama",26201,12588,12394,47.3,12660,46.6
1007,"Bibb County, Alabama",22580,4979,17511,77.6,5080,76.7
1009,"Blount County, Alabama",57667,915,56001,97.1,1201,95.5
1011,"Bullock County, Alabama",10478,7925,2368,22.6,7925,21.9
1013,"Butler County, Alabama",20126,9030,10813,53.7,9218,52.4
1015,"Calhoun County, Alabama",115527,23735,88613,76.7,25229,74.6
1017,"Chambers County, Alabama",33895,13335,19867,58.6,13545,57.7
1019,"Cherokee County, Alabama",25855,1287,24326,94.1,1344,93.1
1021,"Chilton County, Alabama",43805,4184,37213,85,4720,83.3
1023,"Choctaw County, Alabama",13188,5583,7560,57.3,5661,56.5
1025,"Clarke County, Alabama",24625,11246,13216,53.7,11342,53.2
1027,"Clay County, Alabama",13407,1979,11276,84.1,2068,83.2
1029,"Cleburne County, Alabama",14939,424,14328,95.9,572,94.6
1031,"Coffee County, Alabama",51073,8834,40364,79,9509,76.3
1033,"Colbert County, Alabama",54435,8722,44342,81.5,9277,79.6
1035,"Conecuh County, Alabama",12649,5879,6625,52.4,6007,51.3
1037,"Coosa County, Alabama",10955,3640,7306,66.7,3776,65.4
1039,"Covington County, Alabama",37519,4937,32206,85.8,5047,84.6
1041,"Crenshaw County, Alabama",13866,3271,10108,72.9,3479,71.5
1043,"Cullman County, Alabama",81703,948,79124,96.8,1272,95.5
1045,"Dale County, Alabama",49393,9606,37740,76.4,10647,73.3
1047,"Dallas County, Alabama",40755,28677,11603,28.5,28867,28.2
1049,"DeKalb County, Alabama",71194,1040,63145,88.7,1415,86.3
1051,"Elmore County, Alabama",80989,17338,62017,76.6,17790,75.2
1053,"Escambia County, Alabama",37621,12128,23574,62.7,12328,61.4
1055,"Etowah County, Alabama",103132,16039,84833,82.3,16787,80.9
1057,"Fayette County, Alabama",16657,2019,14481,86.9,2272,85.5
1059,"Franklin County, Alabama",31507,1528,27288,86.6,1710,85.9
1061,"Geneva County, Alabama",26572,2440,23573,88.7,2736,86.6
1063,"Greene County, Alabama",8533,6853,1609,18.9,6984,17.1
1065,"Hale County, Alabama",14995,8802,5966,39.8,8802,39.5
1067,"Henry County, Alabama",17110,4762,12284,71.8,4819,71
1069,"Houston County, Alabama",104108,27844,74061,71.1,28934,69.4
1071,"Jackson County, Alabama",52326,1699,49107,93.8,2046,91
1073,"Jefferson County, Alabama",659460,280804,351967,53.4,286759,52.1
1075,"Lamar County, Alabama",14021,1520,12347,88.1,1583,87.5
1077,"Lauderdale County, Alabama",92590,9316,81976,88.5,10192,86.9
1079,"Lawrence County, Alabama",33288,3801,27729,83.3,4006,78
1081,"Lee County, Alabama",156597,36139,111991,71.5,37502,69.9
1083,"Limestone County, Alabama",91695,12042,76745,83.7,12869,81.6
1085,"Lowndes County, Alabama",10362,7722,2628,25.4,7775,24.7
1087,"Macon County, Alabama",19358,15903,3177,16.4,16001,15.8
1089,"Madison County, Alabama",353213,85332,250582,70.9,90285,68.5
1091,"Marengo County, Alabama",19743,10689,8980,45.5,10700,45.4
1093,"Marion County, Alabama",30058,1003,28518,94.9,1271,93.3
1095,"Marshall County, Alabama",94738,2091,89361,94.3,2759,92.6
1097,"Mobile County, Alabama",414328,146423,252172,60.9,150095,59.3
1099,"Monroe County, Alabama",21745,9029,12326,56.7,9262,55.1
1101,"Montgomery County, Alabama",227120,130076,87264,38.4,132123,37
1103,"Morgan County, Alabama",119157,14790,99270,83.3,15826,81.2
1105,"Perry County, Alabama",9680,6735,2875,29.7,6735,29.7
1107,"Pickens County, Alabama",20170,8189,11534,57.2,8425,56
1109,"Pike County, Alabama",33287,12648,19642,59,13144,57.1
1111,"Randolph County, Alabama",22530,4500,17741,78.7,4821,77
1113,"Russell County, Alabama",58480,24946,31715,54.2,26029,50.6
1115,"St. Clair County, Alabama",86937,8126,77091,88.7,8548,87.4
1117,"Shelby County, Alabama",208721,24669,171926,82.4,26218,80.7
1119,"Sumter County, Alabama",13084,9268,3297,25.2,9320,24.7
1121,"Talladega County, Alabama",80888,26004,53297,65.9,26783,64.3
1123,"Tallapoosa County, Alabama",40756,11216,28773,70.6,11335,69.8
1125,"Tuscaloosa County, Alabama",204424,63965,134393,65.7,64951,64.7
1127,"Walker County, Alabama",64927,3963,60301,92.9,4498,91.2
1129,"Washington County, Alabama",16746,4120,11189,66.8,4211,65.5
1131,"Wilcox County, Alabama",10919,7874,2987,27.4,7904,26.9
1133,"Winston County, Alabama",23968,124,23564,98.3,255,96.5
2013,"Aleutians East Borough, Alaska",3338,175,731,21.9,188,17.2
2016,"Aleutians West Census Area, Alaska",5784,295,2027,35,355,29.8
2020,"Anchorage Municipality, Alaska",298225,16335,215326,72.2,23417,63.7
2050,"Bethel Census Area, Alaska",17957,120,2570,14.3,215,11
2060,"Bristol Bay Borough, Alaska",917,4,539,58.8,8,52
2068,"Denali Borough, Alaska",2303,4,2093,90.9,14,83
2070,"Dillingham Census Area, Alaska",4974,22,1146,23,56,17.5
2090,"Fairbanks North Star Borough, Alaska",100031,4251,83815,83.8,6717,76.2
2100,"Haines Borough, Alaska",2537,1,2191,86.4,26,80.1
2105,"Hoonah-Angoon Census Area, Alaska",2146,62,1141,53.2,95,45.8
2110,"Juneau City and Borough, Alaska",32434,343,24992,77.1,723,68.9
