Year,FIPS,county,poverty,childpoverty,income
2017,0,United States,13.4,18.4,"$60,336 "
2010,0,United States,15.3,21.6,"$50,046 "
2000,0,United States,11.3,16.2,"$41,990 "
1989,0,United States,12.8,19.6,"$28,906 "
2017,1000,Alabama,16.9,24.4,"$48,193 "
2010,1000,Alabama,18.9,27.4,"$40,538 "
2000,1000,Alabama,14.6,20.5,"$34,923 "
1989,1000,Alabama,17.7,24.1,"$22,202 "
2017,1001,Autauga County (AL),13.4,19.3,"$58,343 "
2010,1001,Autauga County (AL),11.9,17.5,"$53,049 "
2000,1001,Autauga County (AL),10.5,14.1,"$42,463 "
1989,1001,Autauga County (AL),14.3,20.2,"$26,898 "
2017,1003,Baldwin County (AL),10.1,14.7,"$56,607 "
2010,1003,Baldwin County (AL),13.3,20.2,"$47,618 "
2000,1003,Baldwin County (AL),9.7,15.5,"$41,283 "
1989,1003,Baldwin County (AL),13.2,18.6,"$24,043 "
2017,1005,Barbour County (AL),33.4,50.3,"$32,490 "
2010,1005,Barbour County (AL),25.3,36.2,"$33,074 "
2000,1005,Barbour County (AL),22.2,28.6,"$26,612 "
1989,1005,Barbour County (AL),26.2,38.2,"$18,673 "
2017,1007,Bibb County (AL),20.2,27.3,"$45,795 "
2010,1007,Bibb County (AL),20.9,28.6,"$35,472 "
2000,1007,Bibb County (AL),17.8,24.1,"$31,776 "
1989,1007,Bibb County (AL),18.9,25,"$19,604 "
2017,1009,Blount County (AL),12.8,18.5,"$48,253 "
2010,1009,Blount County (AL),16.5,24.1,"$42,906 "
2000,1009,Blount County (AL),12,16.9,"$36,863 "
1989,1009,Blount County (AL),13.4,19.4,"$24,035 "
2017,1011,Bullock County (AL),34.4,48.3,"$29,113 "
2010,1011,Bullock County (AL),31.1,40.3,"$25,969 "
2000,1011,Bullock County (AL),28.6,31.5,"$21,400 "
1989,1011,Bullock County (AL),34.1,41.4,"$13,273 "
2017,1013,Butler County (AL),21.3,33,"$36,842 "
2010,1013,Butler County (AL),28.1,39.6,"$29,500 "
