FIPS,county,blackpop,blackcaralone,blackcarpool,blackpublictransport,blackwalk,blacktaxibike,blackhome,whitepop,whitecaralone,whitecarpool,whitepublictransport,whitewalk,whitetaxibike,whitehome,allpop,allcaralone,allcarpool,allpublictransport,allwalk,alltaxibike,allhome
1001,"Autauga County, Alabama",4304,3446,724,0,0,98,36,18600,16351,1354,14,145,227,509,24325,20911,2329,14,145,325,601
1003,"Baldwin County, Alabama",7279,6323,702,0,47,140,67,74530,63410,4988,95,587,678,4772,87837,74415,6693,95,673,1000,4961
1005,"Barbour County, Alabama",3535,2903,473,0,86,56,17,4560,3935,358,22,77,70,98,8683,7242,966,22,188,150,115
1007,"Bibb County, Alabama",1353,1132,201,5,7,0,8,6337,5471,565,41,14,136,110,8024,6930,766,53,21,136,118
1009,"Blount County, Alabama",284,201,83,0,0,0,0,19051,16527,1883,29,92,79,441,21230,18426,2162,29,93,79,441
1011,"Bullock County, Alabama",3039,2318,486,0,225,0,10,1129,770,188,11,40,0,120,4290,3135,674,11,265,75,130
1013,"Butler County, Alabama",3139,2535,551,0,14,31,8,4252,3710,312,0,53,41,136,7623,6370,963,0,67,72,151
1015,"Calhoun County, Alabama",8957,7482,983,11,134,97,250,34585,29645,2907,97,374,396,1166,46289,39356,4238,115,585,514,1481
1017,"Chambers County, Alabama",5690,4891,655,23,53,25,43,7948,7006,641,0,35,29,237,14241,12405,1377,23,88,68,280
1019,"Cherokee County, Alabama",513,431,82,0,0,0,0,9059,7691,1086,38,29,25,190,9731,8269,1174,38,29,25,196
1021,"Chilton County, Alabama",1432,1188,129,0,35,28,52,14404,12324,1528,0,74,230,248,17386,14461,2192,18,109,306,300
1023,"Choctaw County, Alabama",1504,1266,201,0,16,16,5,2645,2129,379,0,50,33,54,4230,3460,580,0,74,49,67
1025,"Clarke County, Alabama",3051,2506,453,12,25,24,31,4583,3881,460,0,33,179,30,7805,6530,926,12,58,210,69
1027,"Clay County, Alabama",744,739,5,0,0,0,0,4440,3795,321,0,153,7,164,5402,4728,326,0,153,31,164
1029,"Cleburne County, Alabama",56,55,0,1,0,0,0,5214,4248,764,0,49,7,146,5469,4475,791,1,49,7,146
1031,"Coffee County, Alabama",3494,3027,273,0,85,51,58,16392,14217,1292,0,139,224,520,22159,19200,1802,3,227,311,616
1033,"Colbert County, Alabama",3377,3054,253,1,41,28,0,17481,15756,1042,21,120,136,406,21809,19426,1594,22,161,176,430
1035,"Conecuh County, Alabama",1753,1659,66,0,19,2,7,2069,1772,197,14,11,14,61,3897,3506,263,14,30,16,68
1037,"Coosa County, Alabama",1136,953,140,24,0,5,14,2605,2159,225,0,62,16,143,3750,3120,365,24,62,21,158
1039,"Covington County, Alabama",1565,1306,158,0,35,26,40,12521,10979,1020,26,124,186,186,14532,12609,1250,26,159,212,276
1041,"Crenshaw County, Alabama",1207,1056,114,0,14,15,8,4108,3220,555,6,81,28,218,5611,4556,685,6,95,43,226
1043,"Cullman County, Alabama",316,250,33,7,24,0,2,29816,26404,2477,12,106,179,638,31603,27897,2642,35,198,191,640
1045,"Dale County, Alabama",3584,2896,400,0,57,191,40,14710,13037,874,28,260,155,356,20282,17670,1366,28,421,358,439
1047,"Dallas County, Alabama",8862,7431,909,28,237,170,87,4855,4433,306,0,9,21,86,14063,12177,1248,28,246,191,173
1049,"DeKalb County, Alabama",370,188,153,0,7,0,22,23115,20437,1825,12,214,95,532,28110,24322,2748,12,252,178,598
1051,"Elmore County, Alabama",6351,5717,421,0,120,34,59,24796,21188,2687,22,65,177,657,32647,28144,3345,46,185,211,716
1053,"Escambia County, Alabama",3249,2992,210,0,13,27,7,7705,7012,543,12,10,36,92,11916,10879,832,12,31,63,99
1055,"Etowah County, Alabama",6021,5055,747,32,94,27,66,32292,27443,2753,73,162,216,1645,40402,34279,3703,105,256,279,1780
1057,"Fayette County, Alabama",651,506,88,0,57,0,0,5466,4649,629,0,10,33,145,6203,5224,717,0,79,33,150
1059,"Franklin County, Alabama",709,637,60,0,0,0,12,9639,8379,830,27,28,191,184,12456,10576,1255,27,28,339,231
1061,"Geneva County, Alabama",781,619,151,4,0,7,0,8787,7468,766,0,58,239,256,10204,8522,1054,4,60,247,317
1063,"Greene County, Alabama",1763,1406,260,0,27,46,24,620,497,48,0,0,0,75,2402,1922,308,0,27,46,99
1065,"Hale County, Alabama",2681,2396,180,0,0,52,53,2316,2129,102,0,16,22,47,5148,4656,302,0,16,74,100
1067,"Henry County, Alabama",1707,1413,104,0,11,131,48,4902,4272,368,0,37,97,128,6865,5900,513,0,48,228,176
1069,"Houston County, Alabama",10363,9010,953,22,98,111,169,30909,27989,1743,34,125,233,785,43572,38860,2987,56,304,366,999
1071,"Jackson County, Alabama",706,560,123,0,23,0,0,18001,15787,1374,10,226,172,432,19975,17383,1686,12,259,172,463
1073,"Jefferson County, Alabama",115212,94610,13865,2354,1601,1275,1507,161177,140784,10190,302,1999,1520,6382,295958,249744,27960,2776,4057,3034,8387
1075,"Lamar County, Alabama",422,286,130,6,0,0,0,4829,4145,590,24,13,5,52,5317,4485,732,30,13,5,52
1077,"Lauderdale County, Alabama",3513,3156,219,27,37,74,0,34007,29896,2620,39,622,146,684,39262,34550,3010,66,659,272,705
1079,"Lawrence County, Alabama",1322,1144,144,0,8,26,0,9350,8068,942,15,108,37,180,12300,10657,1144,15,116,63,305
1081,"Lee County, Alabama",16271,13846,1889,107,129,107,193,48772,41561,3332,352,930,470,2127,70876,60067,5723,532,1350,715,2489
1083,"Limestone County, Alabama",5241,4577,522,0,52,46,44,29970,26627,1933,14,147,254,995,38648,34130,2913,30,199,310,1066
1085,"Lowndes County, Alabama",2320,1967,300,9,0,42,2,1067,893,80,6,11,19,58,3421,2889,380,15,11,66,60
1087,"Macon County, Alabama",5820,4580,591,71,383,99,96,1150,957,148,0,24,0,21,7178,5689,760,71,442,99,117
1089,"Madison County, Alabama",39882,34258,3042,236,587,946,813,111102,98981,5880,91,678,991,4481,167817,147251,10650,354,1425,2453,5684
1091,"Marengo County, Alabama",2997,2656,177,0,23,73,68,3509,3072,187,0,58,76,116,6542,5755,371,0,81,151,184
1093,"Marion County, Alabama",320,320,0,0,0,0,0,10850,9235,1098,5,45,184,283,11629,9919,1176,5,62,184,283
1095,"Marshall County, Alabama",863,603,155,91,4,0,10,31725,27798,2484,12,441,137,853,37835,32069,4086,112,505,157,906
1097,"Mobile County, Alabama",53500,45288,4845,727,642,646,1352,105383,91999,6328,90,1081,640,5245,171077,147231,12580,839,1947,1383,7097
1099,"Monroe County, Alabama",1898,1771,40,0,5,43,39,4071,3670,167,16,70,23,125,6111,5569,221,16,75,66,164
1101,"Montgomery County, Alabama",54049,45841,5494,557,751,339,1067,39439,33585,2841,46,601,286,2080,99969,84790,9044,665,1402,682,3386
1103,"Morgan County, Alabama",5656,4972,520,47,33,74,10,39115,35647,2260,13,231,268,696,49709,44597,3533,60,374,408,737
1105,"Perry County, Alabama",1640,1357,181,0,3,99,0,757,672,33,0,41,7,4,2439,2067,214,0,48,106,4
1107,"Pickens County, Alabama",2436,2120,172,24,81,16,23,4201,3389,531,0,25,6,250,6775,5595,717,62,106,22,273
1109,"Pike County, Alabama",4841,4214,370,0,119,21,117,8460,7169,670,3,108,62,448,14028,11866,1105,3,305,109,640
1111,"Randolph County, Alabama",1802,1638,144,0,0,0,20,6320,5346,582,10,17,53,312,8400,7178,767,10,32,81,332
1113,"Russell County, Alabama",10320,8829,959,51,127,164,190,11818,10152,940,11,189,86,440,23772,20446,2010,62,325,254,675
1115,"St. Clair County, Alabama",3460,3192,193,10,3,40,22,32849,28438,2680,43,197,448,1043,37923,32792,3265,53,217,488,1108
1117,"Shelby County, Alabama",12177,10898,635,0,82,309,253,81292,70371,5275,94,633,451,4468,102784,88620,7474,94,715,798,5083
1119,"Sumter County, Alabama",2875,2630,154,13,55,0,23,1275,1066,109,0,68,4,28,4239,3703,310,13,132,4,77
1121,"Talladega County, Alabama",8853,7427,1020,91,184,46,85,20000,16781,1887,54,309,269,700,30156,25241,3121,145,494,358,797
1123,"Tallapoosa County, Alabama",3311,2897,349,0,33,32,0,11417,9669,1091,14,83,121,439,15124,12852,1534,14,132,153,439
1125,"Tuscaloosa County, Alabama",26148,22051,2926,175,333,268,395,58740,50962,3975,260,838,508,2197,89791,76817,7594,435,1323,854,2768
1127,"Walker County, Alabama",1479,1272,142,0,52,13,0,21485,18493,2181,63,216,196,336,23873,20475,2508,63,268,220,339
1129,"Washington County, Alabama",1244,1126,103,0,1,8,6,4027,3324,541,0,9,57,96,5612,4670,755,0,12,73,102
1131,"Wilcox County, Alabama",1787,1614,147,0,0,6,20,1081,940,62,0,29,0,50,2888,2565,218,0,29,6,70
1133,"Winston County, Alabama",0,0,0,0,0,0,0,8087,6814,878,2,62,146,185,8476,6997,1061,2,62,155,199
2013,"Aleutians East Borough, Alaska",175,5,1,0,169,0,0,433,174,33,0,208,10,8,2388,630,138,2,1414,78,126
2016,"Aleutians West Census Area, Alaska",295,55,0,0,240,0,0,1185,801,111,0,218,44,11,3960,1797,357,6,1649,123,28
2020,"Anchorage Municipality, Alaska",8297,5842,1153,293,316,148,545,102341,80767,9029,1234,3439,4081,3791,157670,119552,18447,2733,5377,5589,5972
2050,"Bethel Census Area, Alaska",74,30,12,0,6,26,0,1231,540,298,11,194,112,76,5810,1444,791,32,1792,1511,240
2060,"Bristol Bay Borough, Alaska",4,0,2,0,2,0,0,323,180,56,1,62,8,16,511,301,82,1,90,21,16
2068,"Denali Borough, Alaska",2,2,0,0,0,0,0,1316,445,100,7,645,17,102,1538,539,135,7,714,17,126
2070,"Dillingham Census Area, Alaska",20,7,9,0,0,4,0,553,224,109,3,157,15,45,1948,726,357,18,457,272,118
2090,"Fairbanks North Star Borough, Alaska",2470,1684,398,18,291,38,41,39807,30202,5751,261,1320,1057,1216,51991,38864,7800,481,2117,1332,1397
2100,"Haines Borough, Alaska",0,0,0,0,0,0,0,1056,620,141,8,55,58,174,1369,776,141,8,125,136,183
2105,"Hoonah-Angoon Census Area, Alaska",56,2,0,0,54,0,0,485,221,21,18,116,39,70,995,379,91,29,320,74,102
2110,"Juneau City and Borough, Alaska",239,131,54,34,20,0,0,12299,8744,1424,375,766,312,678,17586,11825,2545,929,1134,397,756
2122,"Kenai Peninsula Borough, Alaska",114,103,3,0,4,2,2,20845,14482,2047,181,914,1606,1615,24627,16816,2577,246,1294,1860,1834
