"","fips","county","pov"
"1",1005,"Barbour County",TRUE
"2",1011,"Bullock County",TRUE
"3",1013,"Butler County",TRUE
"4",1017,"Chambers County",FALSE
"5",1023,"Choctaw County",TRUE
"6",1025,"Clarke County",TRUE
"7",1035,"Conecuh County",TRUE
"8",1047,"Dallas County",TRUE
"9",1063,"Greene County",TRUE
"10",1087,"Macon County",TRUE
"11",1091,"Marengo County",TRUE
"12",1099,"Monroe County",TRUE
"13",1105,"Perry County",TRUE
"14",1109,"Pike County",TRUE
"15",1119,"Sumter County",TRUE
"16",1131,"Wilcox County",TRUE
"17",5017,"Chicot County",TRUE
"18",5039,"Dallas County",FALSE
"19",5041,"Desha County",TRUE
"20",5073,"Lafayette County",TRUE
"21",5077,"Lee County",TRUE
"22",5095,"Monroe County",TRUE
"23",5103,"Ouachita County",TRUE
"24",5107,"Phillips County",TRUE
"25",5123,"St. Francis County",TRUE
"26",12079,"Madison County",TRUE
"27",13009,"Baldwin County",FALSE
"28",13017,"Ben Hill County",TRUE
"29",13037,"Calhoun County",TRUE
"30",13061,"Clay County",TRUE
"31",13081,"Crisp County",TRUE
"32",13087,"Decatur County",TRUE
"33",13093,"Dooly County",TRUE
"34",13099,"Early County",TRUE
"35",13133,"Greene County",TRUE
"36",13141,"Hancock County",TRUE
"37",13163,"Jefferson County",TRUE
"38",13175,"Laurens County",FALSE
"39",13193,"Macon County",TRUE
"40",13205,"Mitchell County",TRUE
"41",13239,"Quitman County",TRUE
"42",13243,"Randolph County",TRUE
"43",13251,"Screven County",TRUE
"44",13259,"Stewart County",TRUE
"45",13261,"Sumter County",TRUE
"46",13263,"Talbot County",TRUE
"47",13265,"Taliaferro County",TRUE
"48",13269,"Taylor County",TRUE
"49",13271,"Telfair County",TRUE
"50",13275,"Thomas County",FALSE
"51",13287,"Turner County",TRUE
"52",13301,"Warren County",TRUE
"53",13303,"Washington County",TRUE
"54",13307,"Webster County",FALSE
"55",13309,"Wheeler County",TRUE
"56",13315,"Wilcox County",TRUE
"57",13317,"Wilkes County",FALSE
"58",13319,"Wilkinson County",FALSE
"59",22013,"Bienville Parish",TRUE
"60",22027,"Claiborne Parish",TRUE
"61",22029,"Concordia Parish",TRUE
"62",22035,"East Carroll Parish",TRUE
"63",22061,"Lincoln Parish",TRUE
"64",22065,"Madison Parish",TRUE
"65",22067,"Morehouse Parish",TRUE
"66",22069,"Natchitoches Parish",TRUE
"67",22081,"Red River Parish",TRUE
"68",22083,"Richland Parish",TRUE
"69",22097,"St. Landry Parish",TRUE
"70",22107,"Tensas Parish",TRUE
"71",28001,"Adams County",TRUE
"72",28005,"Amite County",TRUE
"73",28007,"Attala County",TRUE
"74",28011,"Bolivar County",TRUE
"75",28017,"Chickasaw County",TRUE
